Ground Truth,Percentage Error
4000000000000.0,"[5.503737103676123, 5.503737103676123, 2.771943910813086, 0.23797022501943357, 1.9053060703186033, 7.010933348014356, 5.937056023923364, 4.373339920422437, 6.210235343209656, 4.16610043682594, 0.6053493095768799, 4.561739450964733, 4.985638394684852, 3.9117610705938723, 3.648001727834656, 0.3886898494532471, 3.732781516578699, 4.363919943895337, 3.9494409767023195, 4.335660014313989, 3.0639631831536134, 7.312372596881994, 4.599419357073181, 3.2146828075874394, 6.295015131953699, 1.2082278073121704, 3.968280929756543, 3.205262831060327, 4.439279756112244, 4.731299028452772, 1.071406512249414, 5.6544567281099365, 5.1551979721729, 4.750138981507006, 5.19287787828136, 3.6951016104702514, 3.6951016104702514, 0.7278090044293579, 0.0872506005855957, 0.0872506005855957, 3.4690221738195066, 36.22675891143864, 36.22675891143864, 3.2994625963314697, 3.5067020799279542, 4.250880225569971, 3.8175613053227293, 3.9117610705938595, 3.5538019625635373, 7.472512197842931, 4.42043980305802, 4.618259310127417, 8.094230648632445, 4.816078817196802, 84.5373401661621, 2.4328247558369873, 3.845821234904065, 5.174037925227136, 4.335660014313989, 1.7357464928305422, 3.3936623616025883, 3.1393229953705073, 3.544381986036426, 3.3371425024399173, 4.222620295988623, 4.015380812392114, 3.1299030188433963, 4.0153808123921015, 12.592037804909753, 12.592037804909753, 9.408085738745251, 0.6995490748480102, 10.547902898526038, 8.480449686244103, 3.3465624789670287, 3.657421704361804, 3.4407622442381713, 5.475477174094787, 4.373339920422449, 4.024800788919251, 4.288560131678418, 4.561739450964733, 85.7054172555242, 4.533479521383386, 4.655939216235865, 3.8364012583769527, 4.618259310127405, 3.9777009062836552, 4.175520413353052, 3.1581629484247684, 4.4863796387478025, 3.968280929756543, 0.10609055363984374, 10.660942616851404, 3.7233615400515867, 12.252918649933655, 11.301501020695142, 4.778398911088354, 6.257335225845251, 5.042158253847546, 6.163135460574097, 3.4596021972923947, 3.0922231127349487, 3.205262831060327, 2.988603370936694, 3.1016430892620606, 9.003026748079346, 1.3212675256375244, 0.08725060058562012, 0.08230897690245362, 1.4625671735442505, 12.295540179725268, 4.213200319461511, 4.580579404018958, 3.369880784865198, 5.042158253847546, 2.046605718225305, 2.76252393428595, 2.76252393428595, 2.847303723029993, 3.0357032535722657, 4.891438629413709, 2.1784853896048952, 1.7451664693576538, 1.9806658825355101, 5.44721724451344, 2.442244732364087, 2.0842856243337646, 2.4610846854183226, 2.4799246384725464, 2.7154240516503907, 34.42754339475987, 3.9965408593378786, 4.976218418157739, 3.045123230099377, 4.175520413353064, 3.6856816339431395, 3.007443323990918, 3.4219222911839355, 3.5349620095093015, 4.533479521383386, 2.903823582192676, 2.4799246384725464, 1.3777873848002076, 2.932083511774011, 2.2255852722404663, 88.35243065964323, 4.307400084732653, 3.3371425024399173, 3.3371425024399173, 3.770461422687146, 2.056025694752429, 3.6103218217262083, 3.9494409767023195, 3.74220149310581, 4.005960835865002, 2.9226635352469117, 2.5458644741623413, 2.6400642394334715, 3.280622643277234, 2.6965840985961793, 63.32355302710147, 3.0828031362078367, 2.743683981231726, 2.432824755836975, 3.9400210001752076, 4.128420530717481, 3.261782690222998, 2.046605718225305, 1.9335659998999513, 2.743683981231726, 2.4705046619454345, 1.9147260468457155, 2.4422447323640992, 2.5929643567979124, 3.582061892144873, 32.48702823017439, 3.6951016104702514, 3.921181047120972, 3.7516214696329224, 3.883501141012512, 1.613286797978064, 1.613286797978064, 1.613286797978064, 2.6400642394334715, 2.6400642394334715, 11.249922785215626, 11.249922785215626, 11.249922785215626, 2.4705046619454345, 2.4705046619454345, 7.679751681439441, 7.679751681439441, 7.679751681439441, 7.679751681439441, 7.679751681439441, 4.250880225569959, 4.46753968569358, 3.195842854533215, 3.8269812818498417, 4.213200319461511, 65.40536783959368, 5.428377291459216, 4.655939216235865, 4.232040272515735, 4.853758723305249, 7.2935326438277714, 3.7610414461600343, 4.015380812392114, 4.269720178624194, 3.770461422687146, 6.473994685968861, 4.373339920422437, 4.740719004979883, 4.561739450964733, 5.10809808953733, 6.370374944170617, 5.032738277320434, 4.750138981507006, 4.213200319461511, 4.580579404018958, 1.0857681124596803, 2.564704427216577, 0.6147692861039917, 1.5944468449238403, 1.5190870327069215, 2.5364444976352174, 3.0074433239909304, 1.942985976427063, 1.942985976427063, 3.290042619804346, 0.32722836660740967, 1.9806658825355101, 1.048088206351233, 3.0262832770451538, 1.9524059529541746, 11.758601517679761, 4.119000554190368, 3.8364012583769527, 3.8364012583769527, 2.140805483496435, 5.235036137233777, 3.3371425024399173, 3.374822408548364, 4.024800788919227, 3.0262832770451413]"
5000000000000.0,"[1.5473469622882616, 3.2655506808338473, 2.21051330979709, 2.21051330979709, 1.7884983613824024, 4.561739450964727, 3.6272777794750195, 3.8382852536823635, 3.680029648026875, 3.9061090846775977, 3.7403174978003904, 5.566619310988184, 3.551917967258105, 3.8156773100173047, 4.079436652776504, 3.8458212349040823, 4.3205880518706055, 3.2504787183904886, 3.2504787183904886, 3.2504787183904886, 2.1502254600235546, 2.1502254600235546, 2.0522577041415624, 1.7960343426040821, 1.336339488080918, 1.2685156570856835, 1.8940020984860744, 1.8337142487125389, 7.312372596881993, 2.1125455539150977, 3.0394712441831055, 2.700352089207012, 2.233121253462168, 2.8435357324191406, 3.0093273192963474, 3.544381986036406, 3.544381986036406, 3.544381986036406, 4.350731976757364, 4.147260483771699, 0.13058249261033203, 2.0597936853632812, 1.298659581972461, 0.7409969715673241, 0.823892765005918, 1.1328679950952538, 28.56643399958958, 2.278337140792324, 1.6528506993919339, 2.7531039577588476, 2.7531039577588476, 1.5774908871750197, 3.762925441465449, 3.49163011748459, 4.071900671554805, 3.0168633005180467, 3.1374390000650973, 1.4870591125147266, 1.4870591125147266, 1.4870591125147266, 1.4870591125147266, 5.0440422491529695, 5.40576934779414, 3.393662361602598, 4.7802829063937695, 4.486379638747812, 5.7750324276570115, 4.501451601191191, 4.576811413408086, 1.798628700142617, 1.082710484081953, 0.7209833854407812, 0.7209833854407812, 0.7360553478841602, 6.332695038062129, 16.348014081689687, 5.307801591912149, 4.52405954485627, 5.601704859558105, 6.151831488741543, 5.383161404129062, 14.119957997607646, 0.477237628808125, 0.477237628808125, 0.477237628808125, 0.11551053016695312, 6.9657174606842, 3.4690221738195115, 2.602384333325039, 3.536846004814727, 3.3032305869423046, 4.071900671554805, 3.7252455353570113, 37.80554697738292, 3.378590399159219, 31.12113163374287, 3.3333745118290627, 5.533881028562871, 3.4388782489327343, 4.855642718610683, 5.30026561069045, 5.066650192818047, 4.946074493270957, 4.908394587162519, 3.551917967258105, 4.51652356363457, 4.561739450964727, 4.011612821781269, 3.5142380611496487, 3.220334793503711, 2.700352089207012, 3.205262831060332, 0.8615726711143751, 0.8615726711143751, 0.8615726711143751, 1.351411450524297, 0.8792389910962891, 0.6682315168889258, 1.2032861836290039, 1.4142936578363672, 5.54895299100625, 4.765210943950371, 4.6747791692900975, 4.64463524440332, 4.848106737389004, 0.7963431976576953, 1.9467539670378908, 1.4745815076099023, 4.237692258431992, 4.343195995535684, 5.450985235124297, 3.0696151690698827, 3.536846004814727, 3.536846004814727, 29.900302675828904, 3.9211810471209767, 1.6754586430570313, 1.6754586430570313, 1.6754586430570313, 1.6754586430570313, 1.6754586430570313, 1.6754586430570313, 4.154796464993398, 37.813082958604625, 3.74785347902207, 3.74785347902207, 4.554203469743028, 7.907715113395586, 0.9746123894397265, 0.9746123894397265, 6.689480513020156, 0.5450614598033399, 2.2105133097970704, 7.990610906834199, 1.4719871500713673, 1.4719871500713673, 1.4719871500713673, 0.733460990345625, 0.733460990345625, 3.551917967258105, 4.667243188068418, 4.094508615219883, 38.36320958778808, 26.237815802087, 7.631478165731563, 3.2278707747253907, 3.2278707747253907, 1.4343072439628906, 2.1652974224669337, 3.160046943730156, 2.4742726525562695, 1.886466117264375, 1.6679226618353125, 1.539810981066582, 2.4139848027827537, 0.477237628808125, 19.663845819233806, 19.663845819233806, 19.663845819233806, 3.9513249720077344, 3.9513249720077344, 3.9513249720077344, 2.4968805962213674, 2.4968805962213674, 2.6249922769900977, 8.390017911583827, 2.8058558263106836, 4.034220765446367, 1.5021310749581251, 2.0371857416981833, 2.172833403688613, 1.2760516383074023, 3.8835011410125193, 3.2655506808338473, 1.8563221923775977, 9.105936127644473, 2.58731237088166, 5.6695286905533395, 1.6905306055003906, 1.5925628496183983, 6.114151582633105, 2.7832478826456053, 2.7832478826456053, 2.233121253462168, 3.1977268498386326, 5.30026561069045, 5.383161404129062, 4.953610474492656, 5.360553460463965, 4.915930568384199, 3.4011983428242973, 5.059114211596348, 5.707208596661777, 5.488665141232734, 5.677064671775019, 5.677064671775019, 0.771140896454082, 0.6581011781287109, 0.40187781659119143, 0.40187781659119143, 0.40187781659119143, 0.040150717950039064, 7.503366484962813, 2.316017046900762, 1.7282105116088478, 3.808141328795606, 1.7658904177173047, 2.911359563414375, 3.3785903991591995, 2.353696953009219, 2.1351534975801756, 3.5293100235930277, 2.172833403688613, 6.18951139485002, 6.18951139485002, 6.18951139485002, 6.18951139485002, 5.247513742138633, 21.95478411062791, 1.6453147181702539, 1.5021310749581251, 0.4621656663647461, 0.41694977903458985, 0.23608622971400392, 1.5096670561798242, 6.686886155481621, 17.553771077160274, 5.285193648247071, 2.0145777980331054, 6.973253441905898, 6.973253441905898, 6.973253441905898, 6.973253441905898, 6.973253441905898, 2.7455679765371483, 25.763048985120456, 0.19346469992238283, 4.0191488030029685, 6.973253441905898, 6.543702512269492, 6.543702512269512, 2.9264315258577542, 19.317190683035996, 4.486379638747812, 4.486379638747812, 5.021434305487891, 8.917536597102188, 10.605596390761034, 4.817962812502227, 4.622027300738242, 4.991290380601133, 5.194761873586777, 2.775711901423906, 4.682315150511797, 5.9709679394209765, 5.247513742138633, 2.2406572346838476, 5.812712333765449, 13.785780466314687, 6.212119338515079, 16.31787015680293, 15.496448203638574, 3.845821234904063, 5.40576934779414, 0.6505651969070116, 2.881215638527617, 3.3409104930507616, 2.444128727669512, 3.657421704361797, 5.315337573133829, 0.16072641749708985, 4.961146455714336, 10.831675827411757, 6.257335225845234, 4.441163751417656, 2.602384333325039, 4.328124033092305, 4.750138981506992, 4.750138981506992, 1.630242755726875, 6.18951139485002, 72.51368212695382, 5.202297854808476, 5.202297854808476, 4.6747791692900975, 4.3356600143139845, 5.850392239873925, 20.093396748870195, 4.622027300738242, 3.996540859337891, 4.599419357073184, 4.998826361822813]"
6666666666666.667,"[1.2892396054453563, 4.273488169235039, 2.543980478856914, 2.7078880704286963, 1.662270675919043, 5.047810239763799, 0.8088208025625145, 0.18710235177300294, 0.6279572532419384, 0.6279572532419384, 0.1984063236055371, 0.1984063236055371, 39.88099944172572, 39.88099944172572, 39.88099944172572, 39.88099944172572, 39.88099944172572, 1.8883501125697997, 1.9448699717324707, 2.01269380272769, 2.0353017463927734, 0.8201247743950488, 3.8326332677661035, 3.1600469437301513, 5.940824014534204, 29.672339243872763, 1.8826981266535252, 11.818889367453309, 11.818889367453309, 2.6457162253497506, 1.2044598167013134, 1.3514114505242871, 26.761566496994543, 42.960158133019675, 2.6231082816846825, 30.881864229954182, 30.881864229954182, 4.957378465103496, 4.957378465103496, 39.6876582875003, 3.0357032535722603, 3.0357032535722603, 2.300945084457363, 2.0466057182253077, 2.300945084457378, 1.3740193941893555, 1.7413984787468115, 1.5492309575936865, 3.589597873366553, 1.5424053386051073, 1.424887267435781, 1.424887267435781, 12.07888071960164, 2.9848353803258494, 3.48786212687373, 2.7870158732564647, 2.7870158732564647, 3.1374390000650827, 5.3643214510748285, 0.37244425393757813, 1.956173943565005, 0.16897276095188962, 0.24810056377965817, 2.3687689154525975, 0.7579529293161181, 2.883099633832998, 2.883099633832998, 3.4596021972923876, 2.4761566478616945, 2.4761566478616945, 5.069244550356562, 5.41966767716521, 4.3797022685718305, 7.448730621105557, 10.172987832746909, 10.172987832746909, 3.9287170283426662, 4.3695719298115865, 4.601303352378603, 4.273488169235039, 4.69738711295518, 4.183056394574736, 5.290845634163334, 4.691735127038906, 6.05951571877585, 5.432145282070048, 5.013898324266195, 5.030854282015005, 5.403885352488691, 7.8217616915792725, 7.8217616915792725, 6.330811042756729, 6.330811042756729, 6.330811042756729, 10.485020691213954, 4.075668662165639, 2.7813638873401905, 3.7252455353570064, 3.1374390000650827, 3.629161774780444, 3.374822408548374, 8.597257395180337, 1.8883501125697997, 1.8883501125697997, 1.8883501125697997, 9.630397184785137, 1.0914200983759423, 1.600098830840112, 2.334856999954995, 2.289641112624829, 2.950923464828247, 2.950923464828247, 2.2952930985411033, 1.8261782674908251, 1.8261782674908251, 1.8261782674908251, 1.8261782674908251, 1.8261782674908251, 3.5714682825454545, 3.5714682825454545, 3.465254183208647, 3.1374390000650827, 3.1374390000650827, 4.787818887615454, 2.8378837465028615, 4.9178145636896184, 6.359070972338071, 5.98603990186434, 5.952127986366738, 5.1269380425915525, 12.158008522429409, 5.081722155261401, 67.78368027727034, 5.1212860566752925, 4.934770521438427, 5.149545986256635, 5.386929394739897, 3.0017913380746433, 5.41518932432124, 16.949718946352665, 3.3861263803809076, 4.686083141122617, 4.686083141122617, 4.686083141122617, 4.443047746723096, 3.787417380435952, 8.358700353624755, 15.956143058161743, 0.3046204229423291, 0.5827413659118017, 0.5827413659118017, 0.5827413659118017, 0.5827413659118017, 4.804774845364248, 13.661436776156776, 5.030854282015005, 5.991691887780615, 6.155599479352397, 5.149545986256635, 6.257335225845219, 3.2956946057206054, 2.730496014093779, 3.990888873421626, 3.352214464883291, 3.403082338129717, 4.2565322114862445, 1.3050219301218458, 2.3292050140387057, 3.9174130565101315, 3.4369942536273195, 3.0922231127349464, 1.9448699717324707, 3.5443819860364156, 15.560504044022958, 3.18265488739522, 4.895206620024551, 5.969083944115532, 5.516925070814063, 16.44221384696083, 4.793470873531729, 13.10189017044621, 6.692538141397895, 1.9335659998999364, 9.484619184034468, 7.314256592187407, 8.105534620464976, 8.405089874027198, 3.9739329156728167, 4.691735127038892, 3.7704614226871436, 13.311013649348158, 4.618259310127397, 6.042559761027026, 3.691333619859404, 2.357464943620063, 2.973531408493315, 2.2783371407922948, 3.7365495071895403, 4.25653221148623, 3.4256902817947847, 13.627524860659173, 2.2500772112109524, 1.2157637885338477, 1.3966273378544385, 5.771264437046162, 2.1935573520482814, 9.348971522044028, 4.290444126983847, 5.064766197512608, 5.064766197512608, 5.143894000340376, 5.143894000340376, 4.787818887615454, 41.531379329276085, 1.6961825914166455, 1.8035703238257565, 1.4814071265984667, 2.5383284929406393, 2.1766013942994724, 1.3683674082730957, 4.64651923970874, 4.861294704526948, 6.217771324431357, 4.601303352378603, 7.065569211871596, 7.930323057060673, 6.178207423017466, 5.8786521694552585, 15.554852058106682, 2.5496324647731736, 17.49348322738674, 0.830255113155293, 26.218975849032788, 3.1600469437301513, 2.4478967182803366, 2.4365927464478023, 1.4983630843472606, 3.0639631831536036, 1.75835443649562, 2.0466057182253077, 8.704645127589448, 7.156000986531899, 64.04206560070067, 5.449101239818857, 5.109982084842758, 22.2863672843823, 1.1422879716223682, 7.110785099201762, 7.235128789359669, 7.235128789359669, 6.732102042811771, 6.472110690663442, 4.070016676249365, 3.10800543741145, 3.193958859227783, 1.7809623801606884, 2.9622274366607813, 3.352214464883291, 3.222218788809126, 2.238773239378418, 33.54960158243285, 14.396194945271674, 2.85483970425167, 3.6009018451990866, 2.6457162253497506, 5.256933718665732, 4.273488169235039, 3.923065042426377, 4.979986408768579, 4.352615972062778, 3.8948051128450483, 3.696985605775664, 1.978781887230073, 1.5718389012587548, 33.8095929345812, 2.866143676084204, 1.9279140139836621, 1.9279140139836621, 67.16761381239708, 1.068812154710874, 1.877046140737251, 9.40996973405067, 9.40996973405067, 4.872598676359482, 5.743004507464819, 3.781765394519692, 4.765210943950385, 5.8843041553715185, 0.5137439018442627, 11.050219282840795, 13.497529184585009, 7.466860211926655, 17.114800170996737, 3.6392921135406735, 65.52853789667925, 4.386527887560424, 5.273889676414555, 4.075668662165639, 4.2565322114862445, 0.9896843518831053, 1.0518561969620654, 2.3970288450339403, 4.20001235232353, 3.516122056455088, 5.2343257750006495, 3.250478718390468, 5.443449253902597, 5.087374141177676, 10.954135522264249, 2.221817281629624, 6.466458704747153, 0.8031688166462695, 0.9388164786366943, 3.6065538311153613, 15.227036874963135, 4.991290380601113, 3.793069366352227, 3.595249859282827, 14.192723452286016, 2.3518129577038036, 4.19436036640727, 4.047408732584297, 4.086972633998174, 4.9178145636896184, 4.380875901644136, 4.4317437748905615, 4.680431155206357, 24.829760946703065, 6.986441409043842, 8.37117795852958, 5.16084995808917, 8.218574338790331, 7.297300634438598, 7.297300634438598, 14.76357402982913, 3.193958859227783, 5.307801591912158, 3.3917783662971823, 3.1600469437301513, 3.482210140957471, 6.200815366682549, 9.931126071419664, 5.16084995808917, 5.273889676414555, 7.692939648577397, 4.663475197457548, 3.5036444515502487, 4.855642718610688, 5.498795479992964, 5.093026127093935, 3.595249859282827, 8.580301437431528, 5.692136634218379, 40.41793810377121, 6.370374944170605, 5.895608127204067, 4.978812775696289, 5.381277408823623, 1.8657421689047167, 6.647322254067759]"
