Ground Truth,Percentage Error
4000000000000.0,"[3.280622643277234, 5.1551979721729, 4.561739450964733, 4.778398911088342, 4.599419357073181, 2.988603370936694, 4.411019826530908, 4.071900671554809, 4.241460249042847, 3.7704614226871582, 3.478442150346619, 3.883501141012512, 3.7516214696329224, 3.77988139921427, 4.279140155151307, 4.024800788919251, 5.004478347739075, 4.363919943895325, 4.307400084732653, 4.7595589580341064, 4.363919943895325, 4.580579404018958, 4.655939216235865, 4.580579404018958, 4.92911853552218, 2.9697634178824703, 3.205262831060327, 3.9777009062836552, 3.676261657416028, 3.7987213522684935, 3.5255420329821776, 5.390697385350757, 4.137840507244593, 4.853758723305249, 4.938538512049292, 4.54289949791051, 4.693619122344324, 4.316820061259766, 4.16610043682594, 4.2037803429344, 3.5538019625635373, 3.0545432066265015, 3.205262831060327, 3.280622643277234, 3.1016430892620606, 3.48786212687373, 4.505219591802051, 4.043640741973474, 4.345079990841101, 4.119000554190368, 2.649484215960596, 3.9871208828107787, 3.8175613053227293, 3.74220149310581, 3.5067020799279542, 2.9320835117740236, 4.42043980305802, 4.222620295988623, 4.194360366407287, 4.250880225569971, 3.3277225259128054, 3.3277225259128054, 4.3827598969495485, 4.3827598969495485, 4.39217987347666, 3.120483042316284, 3.968280929756543, 3.7045215869973633, 4.015380812392139, 3.9871208828107663, 4.401599850003785, 4.90085860594082, 5.2399777609169185, 5.098678113010218, 5.305917596606726, 2.6871641220690674, 2.800203840394434, 2.9226635352468997, 2.950923464828247, 3.007443323990918, 4.92911853552218, 4.731299028452772, 4.844338746778138, 4.92911853552218, 2.7907838638673095, 2.8567236995571044, 2.734264004704614, 2.8567236995571044, 2.9697634178824703, 2.300945084457385, 2.1031255773879884, 2.2726851548760254, 2.5176045445809936, 4.297980108205542, 4.184940389880175, 4.2037803429344, 4.194360366407287, 3.8081413287956174, 3.74220149310581, 3.74220149310581, 3.6668416808889157, 4.024800788919227, 2.8096238169215453, 2.5081845680538817, 2.4799246384725464, 2.329205014038733, 2.376304896674292, 3.0074433239909304, 3.676261657416028, 3.582061892144873, 3.7610414461600463, 3.600901845199097, 3.582061892144873, 2.734264004704614, 2.9320835117740236, 2.49876459152677, 2.734264004704614, 2.743683981231726, 2.8944036056655515, 3.0357032535722657, 2.9697634178824703, 2.76252393428595, 3.0545432066264895, 2.941503488301135, 2.621224286379248, 2.5364444976352174, 2.9132435587197874, 2.7154240516503907, 2.4139848027827515, 2.611804309852136, 2.1784853896049072, 2.9320835117740236, 4.081320648081921, 4.571159427491846, 4.213200319461511, 4.38275989694956, 4.307400084732653, 3.6951016104702514, 4.269720178624194, 3.6951016104702514, 3.8740811644854003, 3.883501141012524, 4.429859779585132, 4.966798441630627, 4.80665884066969, 4.63709926318164, 5.10809808953733, 4.46753968569358, 3.892921117539636, 4.0153808123921015, 4.429859779585132, 3.9871208828107663, 5.249397737444043, 4.232040272515735, 4.919698558995068, 4.618259310127405, 4.731299028452772, 4.750138981507006, 4.703039098871436, 4.834918770251026, 4.627679286654529, 4.844338746778138, 2.140805483496435, 2.140805483496435, 2.140805483496435, 2.140805483496435, 2.4234047793098754, 3.0262832770451538, 3.0262832770451538, 3.0262832770451538, 3.0262832770451538, 3.0262832770451538]"
5000000000000.0,"[2.602384333325039, 1.939217985816211, 2.6777441455419533, 2.308481065679082, 2.707888070428711, 2.067329666584961, 4.2979801082055475, 4.1774044086584565, 3.9437889907860355, 3.687565629248555, 3.973932915672793, 3.8910371222342186, 4.00407684055959, 3.785533385130547, 3.9362530095643553, 3.8608931973474614, 3.958860953229414, 3.9061090846775977, 24.94162703195613, 24.94162703195613, 24.94162703195613, 24.94162703195613, 24.94162703195613, 2.225585272240469, 1.4569151876279687, 1.1404039763169531, 1.351411450524297, 1.6905306055004101, 1.6905306055004101, 2.1577614412452344, 2.7154240516503907, 2.911359563414375, 2.8359997511974417, 2.2783371407923045, 2.670208164320254, 4.478843657526133, 4.478843657526133, 4.478843657526133, 4.478843657526133, 3.5142380611496487, 3.6197417982533397, 2.1200815351367965, 2.0070418168114257, 1.517203037401504, 1.004756314326504, 1.2534436946423047, 1.2157637885338477, 28.016307370406114, 28.016307370406114, 28.016307370406114, 28.016307370406114, 28.016307370406114, 28.016307370406114, 3.649885723140098, 3.3409104930507616, 3.521774042371348, 3.4464142301544336, 3.521774042371348, 3.205262831060332, 4.6747791692900975, 4.094508615219883, 4.094508615219883, 3.9136450658992774, 3.996540859337891, 4.207548333545234, 4.200012352323554, 5.194761873586777, 4.742603000285313, 5.330409535577207, 4.373339920422441, 4.8707146810540625, 5.066650192818047, 5.353017479242304, 5.729816540326836, 5.428377291459199, 6.001111864307735, 5.616776822001484, 2.888751619749297, 2.9641114319661916, 3.1977268498386135, 3.084687131513262, 3.6122058170316405, 3.310766568164004, 3.310766568164004, 3.295694605720625, 3.295694605720625, 3.295694605720625, 5.4359132726808985, 5.089258136483106, 5.729816540326836, 5.089258136483106, 4.833034774945625, 4.652171225625039, 4.38087590164414, 3.8382852536823635, 4.154796464993398, 4.275372164540469, 3.8156773100173047, 3.973932915672793, 3.6122058170316405, 3.5820618921448824, 3.2881586244989256, 3.2881586244989256, 2.956575450744512, 2.956575450744512, 1.8137006625859962, 0.291432455804375, 0.291432455804375, 0.291432455804375, 0.291432455804375, 0.291432455804375, 3.9437889907860355, 5.80517635254377, 5.428377291459219, 5.511273084897812, 4.998826361822813, 5.262585704582012, 6.852677742358848, 6.242263263401855, 5.601704859558105, 5.383161404129062, 6.061399714081269, 5.209833836030156, 4.365803939200743, 4.365803939200743, 4.365803939200743, 4.365803939200743, 4.411019826530898, 3.9663969344511134, 3.9663969344511134, 4.117116558884941, 4.117116558884941, 3.8759651597908396, 2.881215638527617, 2.7832478826456053, 2.7154240516503907, 2.1125455539150977, 2.1125455539150977, 2.444128727669512, 2.3235530281224612, 2.632528258211797, 2.0748656478066603, 2.08240162902834, 2.202977328575371, 3.175118906173574, 2.5647044272165624, 2.994255356852969, 2.7304960140937693, 2.9490394695228126, 3.3559824554941406, 2.4064488215610544, 2.4064488215610544, 2.873679657305918, 1.9693619107029687, 3.3861263803808987, 5.556488972227969, 2.5044165774430467, 3.0997590939566404, 3.4238062864893553, 2.8586076948625196, 3.8759651597908396, 4.441163751417656, 2.33862499056584, 2.775711901423906, 2.5948483521033205, 3.1675829249518554, 2.775711901423926, 5.564024953449629, 5.564024953449629, 5.564024953449629, 5.096794117704804, 5.330409535577207, 5.330409535577207, 4.222620295988613, 5.179689911143399, 5.194761873586777, 5.285193648247071, 4.961146455714375, 5.051578230374668, 2.1276175163584767, 1.660386680613633, 2.3310890093441405, 2.300945084457383, 2.300945084457383, 2.3687689154525975, 3.2730866620555465, 2.8661436760842385, 3.2580146996121684, 2.5722404084382617, 3.7704614226871485, 5.006362343044512, 1.336339488080918, 1.6679226618353125, 1.4418432251845898, 1.3438754693025976, 1.3061955631941602, 3.4313422677110546, 3.9211810471209767, 17.787386495032695, 17.501019208608437, 4.25276422087541, 4.034220765446348, 0.8867749723179688, 0.7209833854407812, 0.11810488770548828, 5.337945516798906, 1.263574033402539, 0.20853666236576174, 7.900179132173907, 4.177404408658476, 4.177404408658476, 4.169868427436777, 4.704923094176856, 4.614491319516563, 2.1803693849103323, 5.571560934671347, 5.571560934671347, 5.571560934671347, 4.1095805776632615, 16.566557537118733, 16.566557537118733, 16.566557537118733, 16.566557537118733, 16.566557537118733, 16.566557537118733, 3.6046698358099607, 2.2632651783489455, 2.3235530281224612, 3.8006053475739257, 2.9716474131878905, 19.030823396611737, 19.030823396611737, 19.030823396611737, 19.030823396611737, 19.030823396611737, 19.030823396611737, 16.47612576245846, 16.47612576245846, 16.47612576245846, 16.47612576245846, 16.47612576245846, 16.47612576245846, 5.179689911143399, 4.3582679579790815, 4.3582679579790815, 4.290444126983848, 4.373339920422441, 4.787818887615469, 4.787818887615469, 5.247513742138633, 5.609240840779785]"
6666666666666.667,"[3.306998577553139, 2.7757119014239158, 3.080919140902412, 2.7417999859262987, 3.171350915562685, 3.2730866620555368, 3.250478718390468, 2.504416577443037, 2.747451971842573, 3.0583111972373582, 3.267434676139262, 3.8100253241010353, 3.199610845144043, 3.0639631831536183, 3.0639631831536183, 3.0639631831536183, 3.6856816339431298, 3.6856816339431298, 2.3687689154525975, 2.2161652957133495, 2.4478967182803517, 2.736148000010039, 2.5213725351918455, 2.453548704196626, 3.041355239488535, 3.646117732529238, 3.3465624789670163, 3.3465624789670163, 3.3691704226321137, 3.8778491550962397, 4.092624619914463, 4.657823211541274, 4.652171225625015, 4.618259310127397, 4.5673914368810005, 4.3356600143139845, 4.380875901644136, 5.16084995808917, 5.1551979721729095, 5.511273084897803, 5.319105563744692, 5.40953733840498, 4.923466549605894, 4.974334422852304, 3.3409104930507567, 3.3409104930507567, 2.3405089858712693, 2.5326765070243797, 2.5326765070243797, 2.606152323935874, 2.4422447323640917, 5.0195503101824706, 5.0195503101824706, 5.0195503101824706, 5.0195503101824706, 5.0195503101824706, 4.539131507299643, 4.539131507299643, 4.748254986201577, 5.143894000340376, 5.48301315531646, 5.047810239763799, 5.002594352433647, 4.849990732694414, 5.115634070759018, 5.641268760971982, 5.008246338349936, 5.251281732749443, 4.985638394684868, 5.375625422907363, 4.680431155206357, 4.872598676359482, 3.2335227606416597, 3.1543949578138912, 3.1543949578138912, 3.2900426198043307, 3.7761134086034027, 3.7761134086034027, 3.052659211321084, 4.929118535522154, 4.979986408768579, 4.996942366517402, 5.093026127093935, 5.3643214510748285, 4.544783493215918, 5.183457901754238, 2.357464943620063, 3.414386309962251, 3.561337943785224, 4.086972633998174, 2.8039718310052586, 4.166100436825928, 4.4373957608068215, 2.1144295492205125, 2.8096238169215333, 3.0357032535722603, 3.3126505634693992, 2.719192042261245, 2.611804309852148, 3.465254183208647, 5.697788620134667, 4.878250662275756, 5.251281732749443, 5.658224718720776, 5.392581380656157, 5.618660817306914, 5.426493296153788, 0.8257767603113377, 1.0349002392132716, 1.413583295603247, 1.7979183379094825, 3.1091790704837545, 1.3005435772778906, 0.42896411310024907, 2.4026808309502, 2.5778923943545164, 2.8944036056655613, 2.3913768591176656, 3.4426462395435786, 3.2956946057206054, 2.165297422466938, 2.9961393521583837, 3.058311197237329, 3.0017913380746433, 3.1374390000650827, 3.0470072254047946, 3.2561307043067282, 4.397831859392929, 1.25532768994771, 1.9957378449788818, 1.3966273378544385, 1.8657421689047167, 1.8883501125697997, 2.0918216055554444, 4.725647042536509, 4.612607324211138, 4.708691084787715, 4.663475197457548, 4.663475197457548, 4.4317437748905615, 2.4026808309502, 2.2670331689597605, 2.2726851548760205, 2.6344122535172168, 38.749428625399744, 2.4648526760291602, 4.900858605940825, 5.047810239763799, 4.816078817196781, 5.194761873586772, 5.646920746888242, 5.030854282015005, 2.730496014093765, 2.0353017463927734, 2.6118043098521335, 1.8487862111558933, 3.4539502113761134, 2.877447647916753, 40.51850021719174, 3.1883068733115083, 2.6909321126798877, 2.815275802837793, 2.385724873201406, 2.7926678591727243, 2.6909321126798877, 2.300945084457378, 3.7422014931058003, 2.815275802837793, 2.973531408493315, 3.8100253241010353, 2.7644079295913815, 2.950923464828247, 5.579096915893037, 5.528229042646596, 5.641268760971982, 5.5734449299767626, 5.5734449299767626, 5.460405211651391, 2.5891963661870654, 2.3348569999549804, 2.300945084457378, 2.871795662000464, 2.5213725351918455, 2.255729197127226, 2.85483970425167, 2.640064239433491, 2.6287602676009567, 3.267434676139262, 2.0409537323090476, 3.691333619859404, 3.1374390000650827, 4.132188521328325, 3.866545183263706, 3.7761134086034174, 3.956976957924023, 3.923065042426406, 2.7813638873401905, 3.48786212687373, 39.840261907239544, 39.7950460199094, 5.590400887725571, 5.590400887725571, 5.109982084842758, 5.3982333665724465, 5.09302612709395, 5.324757549660951, 5.420841310237515, 0.13058249261033203, 2.221817281629624, 1.634010746337715, 2.0918216055554444, 1.9335659998999364, 1.3796713801056297, 1.8826981266535252, 68.19062326324166, 4.838686760861865, 68.15105936182778, 2.583544380270776, 3.306998577553139, 3.9739329156728167, 1.198807830785039, 6.466458704747153, 4.895206620024551, 4.906510591857085, 4.804774845364248, 4.273488169235039, 6.285595155426563, 4.872598676359482, 7.862499226065439, 5.844740253957627, 5.754308479297354, 4.929118535522154, 5.697788620134653, 6.149947493436122, 5.313453577828418, 4.968682436936045, 4.968682436936045, 4.968682436936045, 4.968682436936045, 4.968682436936045, 4.968682436936045, 4.968682436936045, 3.5839458874502927, 5.296497620079624, 5.013898324266195, 5.1551979721729095, 5.1551979721729095, 3.990888873421626, 5.09867811301021, 8.535085550101376, 6.11603557793852, 6.551238493491181, 5.60735684547438, 5.935172028617929, 6.890357648467295, 5.827784296208833, 5.499969113065268, 5.499969113065268, 5.499969113065268, 5.499969113065268, 3.9739329156728167, 4.205664338239804, 8.065970719051098, 4.866946690443222, 5.228673789084374, 5.042158253847539, 5.66952869055331, 6.624714310402691, 5.132590028507827, 5.652572732804517, 5.381277408823623, 4.906510591857085, 5.516925070814063, 5.353017479242295, 7.461208226010381, 5.336061521493487, 5.059114211596333, 5.0195503101824706, 6.246031254012685, 5.172153929921704, 5.172153929921704, 5.601704859558105]"
