Ground Truth,Percentage Error
2500000000000.0,"[1.9166100421511327, 1.9618259294812694, 3.3484464742724414, 3.9663969344511134, 2.1577614412452344, 3.3333745118290627, 3.1072950751783397, 2.308481065679082, 2.5194885398864257, 5.443449253902578, 4.8707146810540625, 1.9166100421511327, 2.444128727669512, 4.162332446215097, 3.2881586244989256, 3.6197417982533397, 4.222620295988613, 4.041756746668047, 3.6348137606967383, 4.177404408658476, 4.689851131733477, 5.729816540326836, 6.136759526298164, 5.759960465213593, 5.383161404129062, 4.689851131733477, 4.041756746668027, 3.36351843671584, 3.1374390000650973, 3.981468896894512, 2.444128727669512, 1.9166100421511327, 1.3438754693025976, 2.398912840339355, 1.615170793283496, 3.3635184367158204, 3.4388782489327343, 4.840570756167304, 1.0424362204349609, 3.3484464742724414, 2.3687689154525975, 3.4388782489327343, 1.9166100421511327]"
2857142857142.857,"[5.661992709331636, 6.189511394850018, 3.8948051128450665, 6.34776700050553, 6.136759526298191, 4.606955338294873, 4.053060718500579, 3.274970657360972, 4.145376488466292, 4.066248685638536, 2.285873122013992, 3.0903391174295463, 3.420038295878511, 3.8024893428793534, 2.101241582082566, 1.4682191594605152, 1.112144046735603, 5.530113037952054, 4.8970906153300024, 2.734264004704617, 2.1935573520482787, 1.6792266336678543, 3.84205324429324, 2.285873122013992, 3.6969856057756836, 4.752022976812429, 3.433226263016467, 5.108098089537342, 4.883902648192047, 4.0926246199144485, 4.000308849948735, 3.0507752160156594, 3.301346591636885, 3.0771511502915723, 3.6706096714997534, 2.1803693849103225, 4.053060718500579, 1.9693619107029836, 1.441843225184602, 2.734264004704634, 3.8024893428793534, 1.7715424036336012, 3.8552412114311965, 1.7715424036336012, 5.055346220985515, 6.189511394850035, 6.44008277047126, 4.778398911088343, 5.187225892365098, 6.229075296263904, 3.5782939015340234, 4.501451601191204, 6.018067822056548, 3.1562789531193456, 5.5564889722279664, 3.01121131460179, 3.6837976386377274, 2.998023347463833, 3.01121131460179, 0.16708876564647218, 3.3409104930507714, 2.4177527933936087, 3.1299030188434154, 6.097195624884321, 3.1430909859813894, 2.6683241690148343]"
3333333333333.3335,"[5.070418183428867, 4.5730434227972605, 5.66952869055331, 3.352214464883291, 4.900858605940825, 4.075668662165639, 5.059114211596333, 4.934770521438427, 2.4592006901128856, 3.8043733381847606, 4.154796464993393, 2.289641112624829, 1.9957378449788818, 2.730496014093779, 2.0409537323090476, 1.7470504646630858, 3.216566802892866, 2.583544380270806, 6.675582183649087, 7.376428437266382, 6.596454380821333, 4.064364690333106, 2.5496324647731736, 3.7252455353570064, 3.374822408548359, 2.7191920422612306, 2.8435357324191357, 5.081722155261401, 3.691333619859404, 3.080919140902412, 3.3974303522134424, 3.420038295878511, 3.6800296480268697, 2.2783371407922948, 4.279140155151313, 4.143492493160859, 4.392179873476669, 4.414787817141738, 4.505219591802026, 4.765210943950385, 4.708691084787715, 2.3800728872851318, 2.176601394299487, 3.6800296480268697, 5.579096915893022, 4.290444126983847, 2.3461609717875294, 2.6513682112660253, 5.873000183538999, 9.286799676965082, 6.652974239984018, 7.862499226065439, 3.171350915562685, 2.888751619749287, 4.279140155151313, 4.120884549495791, 1.509667056179795, 0.41200815535144036, 1.6114028026726464, 2.1879053661320214, 4.064364690333091, 4.109580577663242, 38.49508925916768, 3.1148310564000146, 3.2956946057206054, 3.069615169069878, 2.5383284929406393, 4.380875901644136, 5.579096915893022, 3.1035270845674803, 4.426091788974286, 5.4660571975676655, 2.47050466194542, 5.353017479242295, 4.267836183318779, 3.0017913380746433, 3.3296065212182078, 3.171350915562685, 4.957378465103511, 6.212119338515083, 2.6287602676009567, 37.72641917455518, 2.5948483521033396]"
4000000000000.0,"[2.621224286379248, 4.0530607185005865, 4.637099263181629, 2.7154240516503907, 5.456637221040552, 3.5349620095093015, 4.505219591802051, 4.184940389880175, 4.476959662220691, 5.249397737444043, 4.297980108205542, 4.04364074197345, 2.49876459152677, 4.0624806950276975, 4.166100436825952, 3.713941563524475, 2.63064426290636, 6.728334052200941, 4.46753968569358, 6.30443510848081, 4.599419357073181, 4.80665884066969, 3.195842854533215, 2.1031255773879884, 3.3277225259128054, 3.968280929756543, 3.1016430892620606, 2.4234047793098634, 3.1675829249518554, 3.9494409767023195, 3.007443323990918, 2.574124403743689, 3.77988139921427, 3.2335227606416628, 5.06099820690177, 4.1190005541903805, 2.7248440281775026, 2.4705046619454345, 3.205262831060327, 2.300945084457385, 2.5270245211081055, 3.0922231127349487, 4.524059544856274, 3.77988139921427, 3.7516214696329224, 4.571159427491846, 3.9306010236480957, 2.385724873201404, 3.9400210001752076, 3.516122056455078, 3.8740811644854003, 3.412502314656823, 3.5067020799279542, 3.0639631831536134, 3.1299030188433963, 2.621224286379248, 3.61974179825332, 2.3197850375116214, 2.3668849201471804, 3.120483042316284, 5.239977760916932, 4.363919943895325, 4.034220765446338, 4.797238864142578, 4.2037803429344, 3.61974179825332, 3.3842423850754764, 5.19287787828136, 3.4596021972923947, 4.269720178624194, 4.957378465103516, 5.098678113010218, 3.6762616574160156, 4.703039098871436, 5.164617948700025, 3.6856816339431395, 4.345079990841101, 4.947958488576404, 3.1770029014789674, 5.268237690498278, 4.288560131678418, 4.938538512049292, 4.655939216235865, 5.230557784389807, 4.561739450964733, 4.269720178624194, 6.426894803333289, 5.013898324266199, 4.552319474437622, 2.0654456712795413, 2.2632651783489135, 1.660386680613623, 2.63064426290636, 1.3872073613273193]"
5000000000000.0,"[3.7779974039088478, 3.74785347902207, 3.8684291785691403, 3.9061090846775977, 4.365803939200743, 3.634813760696719, 4.848106737388984, 2.888751619749297, 5.142010005034941, 2.1125455539150977, 3.8759651597908396, 3.5820618921448824, 2.459200690112891, 4.373339920422461, 3.175118906173535, 2.8510717136408203, 4.200012352323554, 4.00407684055959, 3.717709554135312, 3.973932915672793, 3.5820618921448633, 3.9437889907860355, 2.429056765226133, 4.689851131733477, 3.4162703052676755, 3.5293100235930277, 4.64463524440332, 5.134474023813242, 5.390697385350761, 4.493915619969512, 5.579096915893027, 5.096794117704804, 5.8654642023173045, 5.888072145982363, 5.9860399018643555, 3.521774042371348, 2.986719375631289, 4.569275432186407, 5.059114211596348, 6.166903451184941, 4.983754399379434, 4.757674962728691, 3.7553894602437694, 5.699672615440098, 3.0093273192963474, 5.910680089647442, 3.717709554135312, 4.26030020209709, 6.272407188288613, 5.511273084897812, 5.089258136483106, 3.710173572913633, 5.503737103676113, 7.018469329236055, 5.330409535577207, 5.654456728109961, 4.8707146810540625, 6.611526343264707, 5.15708196747832, 1.8563221923775977, 4.833034774945625, 4.237692258432031, 3.8382852536823635, 1.95428994825959, 2.3838408778959765, 0.9293965021095899, 2.285873122014004, 1.615170793283496, 1.999505835589746, 4.13218852132832, 3.220334793503711, 3.8156773100173047, 3.7553894602437694, 1.6528506993919339, 2.3612329342308986, 3.3258385306073825, 2.918895544636055, 4.169868427436777, 2.097473591471719, 3.981468896894512, 3.205262831060332, 7.741923526518379, 7.59120390208457, 4.1095805776632615, 5.2249057984735545, 4.245228239653692, 0.8992525772228125, 2.6626721830985742, 4.855642718610683, 4.411019826530898, 18.880103772177932, 3.4238062864893553, 6.82253381747209, 4.041756746668027, 5.9332880333124995, 5.601704859558105, 5.9709679394209765, 19.995428992988202]"
6666666666666.667,"[2.583544380270776, 4.013496817086694, 1.4644511688496582, 3.595249859282827, 4.149144479077133, 3.6856816339431298, 2.798319845088999, 2.1992093379645556, 3.572641915617759, 2.6005003380195997, 4.216968310072353, 2.125733521053047, 3.4426462395435786, 2.900055591581821, 2.131385506969321, 2.798319845088999, 3.0978750986512207, 2.7813638873401905, 3.4935141127900047, 5.426493296153774, 4.375223915727862, 4.951726479187221, 4.047408732584297, 4.544783493215932, 3.7365495071895403, 4.849990732694399, 5.336061521493487, 6.958181479462515, 6.2686391976777545, 5.731700535632285, 5.511273084897803, 5.3643214510748285, 4.855642718610688, 4.324356042481449, 4.821730803113071, 5.86734819762271, 6.014299831445683, 4.686083141122646, 5.556488972227954, 5.816480324376299, 4.652171225625, 5.850392239873916, 4.4656556903881635, 5.307801591912158, 5.064766197512608, 5.765612451129887, 5.313453577828418, 4.296096112900107, 4.601303352378603, 6.381678916003139, 4.957378465103496, 4.725647042536509, 5.788220394794956, 1.323151520942959, 3.2561307043067282, 3.4482982254598533, 4.409135831225493, 2.3292050140387355, 4.086972633998174, 4.420439803058027, 2.255729197127226, 3.3126505634693992, 3.5839458874502927, 3.2956946057206054, 1.8600901829884424, 3.753505464938335, 0.2424485778633984, 3.0922231127349464, 1.899654084402334, 2.4026808309502, 1.520971028012329, 4.267836183318779, 3.646117732529238, 2.0466057182253077, 1.617054788588906, 4.957378465103511, 2.8435357324191357, 2.086169619639185, 3.2900426198043307, 3.629161774780444, 0.7862128588974462, 2.3913768591176656, 2.2952930985411033, 2.826579774670327, 38.856816357808846, 2.233121253462158, 40.75023163975874, 3.306998577553139, 3.148742971897617, 3.1317870141488227, 2.515720549275571, 3.193958859227783, 39.6141824705888, 1.6848786195841112, 1.75835443649562, 1.7244425209980028, 3.8721971691799806, 1.7696584083281544, 2.125733521053047, 1.605750816756372, 2.883099633833027, 3.3126505634693992, 2.1483414647181296, 2.877447647916738, 4.420439803058027, 2.566588422521982, 4.392179873476684, 3.6800296480268697, 4.075668662165625, 4.132188521328325, 3.6517697184455127, 3.787417380435952, 2.6118043098521335, 34.25044783605013, 2.498764591526777, 3.4256902817947847, 40.10025325938788, 40.42806844253145, 5.991691887780615, 5.172153929921704, 4.392179873476669, 4.499567605885766, 4.776514915782919, 7.336864535852475, 4.533479521383383, 8.653777254343007, 6.183859408933754, 6.528630549826113, 6.924269563964897, 5.132590028507841, 7.466860211926655, 5.002594352433647, 7.325560564019956, 7.45555624009412, 6.675582183649087, 5.703440606050927, 5.974735930031806, 5.72039656379975, 5.454753225735132, 8.077274690883632, 4.776514915782919, 5.432145282070048, 5.579096915893022, 6.161251465268672, 5.0195503101824706, 7.00339736679265, 6.002995859613135, 5.251281732749443, 5.41518932432124, 5.172153929921704, 4.245228239653696, 7.387732409098915, 5.143894000340376]"
