Ground Truth,Percentage Error
4000000000000.0,"[2.847303723029993, 6.09719562488429, 6.473994685968848, 5.042158253847546, 4.514639568329162, 38.74189264417805, 4.957378465103516, 3.8364012583769527, 5.004478347739075, 3.4313422677110594, 2.4045648262556396, 3.365402432021253, 3.1487429718976196, 4.655939216235876, 5.2399777609169185, 4.618259310127405, 4.825498793723913, 4.0624806950276975, 4.109580577663257, 4.778398911088342, 4.797238864142578, 5.494317127149011, 4.712459075398547, 6.1913953901554315, 12.719439123445412, 13.416517386451831, 2.6965840985961793, 13.002038419258813, 4.0530607185005865, 3.591481868671985, 3.1864228780061037, 4.655939216235876, 3.478442150346619, 2.743683981231726, 6.125455554465625, 4.109580577663269, 4.618259310127405, 5.3341775261880615, 4.740719004979895, 4.571159427491846, 4.288560131678418, 4.938538512049292, 4.853758723305249, 2.668324169014819, 2.9791833944095827, 3.74220149310581, 2.49876459152677, 2.743683981231726, 6.087775648357177, 4.005960835865002, 4.448699732639355, 3.600901845199097, 2.357464943620068, 4.731299028452772, 3.525542032982202, 4.458119709166467, 3.892921117539636, 3.4407622442381713, 5.211717831335584, 4.476959662220691, 3.5161220564550657, 5.57909691589303, 3.016863300518042, 5.682716657691285, 3.3936623616025883, 3.9965408593378786, 2.828463769975769, 5.287077643552503, 3.6103218217262083, 3.7045215869973633, 4.034220765446338, 3.9306010236480957, 5.776916422962414, 3.9494409767023195, 5.249397737444043, 5.767496446435315, 2.385724873201404, 2.574124403743689, 3.8646611879582884, 3.1864228780061037, 3.252362713695886, 5.3341775261880615, 2.9791833944095827, 4.919698558995068, 1.3872073613273193, 3.713941563524475, 2.800203840394397, 4.759558958034119, 2.2067453191862425, 1.8016863285203368, 2.6023843333250243, 2.4045648262556276, 2.2538452018218016, 4.345079990841101, 4.109580577663257, 4.316820061259766, 4.599419357073181, 3.6291617747804326, 3.77988139921427, 4.034220765446338, 3.4313422677110594, 5.183457901754248, 2.8378837465028806, 2.903823582192664, 2.734264004704614, 2.9791833944095827, 1.481407126598474, 1.6886466101949709, 4.16610043682594, 4.608839333600293, 3.1675829249518554, 3.3936623616026, 3.9211810471209843, 2.5364444976352174, 3.958860953229431, 3.2429427371687747, 2.828463769975769, 2.121965530442212, 1.8393662346288087, 2.5364444976352294, 2.197325342659131, 2.9226635352469117, 3.5538019625635373, 2.5929643567979124, 4.637099263181629, 1.8205262815745848, 2.6589041924877077, 2.9697634178824703, 2.5458644741623413, 2.668324169014819, 2.9132435587197874, 2.2821051314031617, 2.8661436760842163, 5.089258136483106, 3.516122056455078, 4.608839333600293, 5.032738277320434, 3.384242385075488, 7.331212549936218, 5.10809808953733, 3.2335227606416628, 5.268237690498267, 4.891438629413709, 3.4501822207652832, 4.090740624609033, 4.524059544856274, 4.373339920422437, 4.787818887615466, 4.731299028452772, 3.883501141012512, 2.621224286379248, 4.429859779585132, 4.411019826530896, 3.5349620095093015, 5.164617948700025, 4.448699732639355, 4.269720178624194, 4.128420530717481, 4.637099263181629, 4.476959662220691, 3.6668416808889157, 4.816078817196802, 5.079838159955994, 3.9871208828107663, 2.027765765171069, 3.4972821034008423, 2.1879053661320067, 2.4705046619454345]"
5000000000000.0,"[2.8510717136408203, 3.1525109625084764, 1.517203037401504, 5.337945516798906, 3.077151150291582, 3.521774042371348, 3.762925441465449, 3.973932915672793, 3.9513249720077344, 4.064364690333125, 4.7802829063937695, 5.890666503520898, 2.187905366131992, 1.3815553754110546, 25.823336834893993, 2.6626721830985742, 26.938662055704278, 1.7960343426040626, 0.643029215685332, 2.6099203145467187, 3.4313422677110546, 2.6777441455419533, 3.031935262961426, 2.1728334036886525, 5.631848784444883, 3.0394712441831055, 7.6766940530616985, 2.5044165774430467, 3.0997590939566404, 1.2006918260904882, 0.7560689340107031, 0.6505651969070116, 0.5450614598033399, 28.257458769500243, 1.8337142487125389, 26.780406450048776, 3.5895978733665816, 12.813638888716545, 3.551917967258105, 4.5466674885213285, 2.692816107985332, 3.175118906173574, 4.418555807752598, 3.5820618921448824, 4.13972450255002, 4.3205880518706055, 3.9061090846775977, 3.536846004814727, 5.571560934671347, 4.222620295988613, 6.04632775163789, 3.250478718390469, 4.599419357073184, 0.6230156295587891, 5.096794117704804, 5.224905798473535, 6.347767000505527, 5.948359995755879, 5.729816540326836, 5.948359995755879, 1.3137315444158397, 2.6777441455419533, 2.391376859117676, 2.5797763896599415, 3.702637591691934, 3.1525109625084764, 2.33862499056584, 12.564951508400743, 3.0093273192963474, 4.825498793723925, 5.571560934671347, 5.940824014534219, 4.13972450255002, 4.606955338294863, 5.194761873586777, 4.51652356363457, 3.4991660987062696, 3.8985731034558984, 3.853357216125762, 5.707208596661777, 4.094508615219883, 3.1072950751783397, 3.657421704361797, 2.7380319953154686, 1.6780530005955467, 4.343195995535684, 5.217369817251875, 5.03650626793127, 4.961146455714336, 5.345481498020586, 4.946074493270957, 6.9657174606842, 5.978503920642656, 5.488665141232734, 5.126938042591562, 5.631848784444883, 5.126938042591562, 3.129903018843398, 3.634813760696719, 3.7855333851305275, 1.7658904177173047, 3.8608931973474614, 4.8707146810540625, 2.9716474131878905, 6.001111864307735, 13.499413179890428, 13.10754215636248, 3.7855333851305275, 124.55716844395288, 14.207795414729393, 14.78806596879961, 3.3333745118290627, 1.5473469622882616, 2.1276175163584767, 3.4313422677110546, 1.9166100421511327, 3.1374390000650973, 3.1977268498386326, 2.172833403688613, 1.9844338731463476, 2.918895544636055, 2.617456295768418, 2.511952558664746, 1.2760516383074023, 1.7583544364956054, 2.587312370881641, 3.49163011748459, 2.5496324647731834, 2.7229600328720895, 1.984433873146367, 3.047007225404805, 4.2979801082055475, 2.255729197127226, 0.786212858897461, 2.1502254600235546, 6.136759526298164, 5.345481498020586, 5.66199270933164, 13.702884672876095, 5.202297854808476, 6.325159056840449, 3.6046698358099607, 3.190190868616953, 2.911359563414375, 3.295694605720625, 3.23540675594709, 0.823892765005918, 1.3061955631941602, 2.187905366132031, 2.798319845089004, 3.1223670376217187, 5.692136634218398, 6.144295507519883, 1.8035703238257812, 0.9595404269963477, 1.848786211155918, 1.7960343426040821, 3.8835011410125193, 3.74785347902207, 18.164185556117246, 2.218049291018789, 3.3484464742724414, 18.797207978739316, 0.1482488125922461, 0.6305516107804687, 4.727531037841934, 7.350052502990449, 3.4991660987062696, 2.7606399389805274, 3.49163011748459, 7.6364197894147265, 4.13972450255002, 5.8654642023173045, 5.729816540326836, 5.6695286905533395, 1.1630119199820117, 6.754709986476835, 0.6656371593503906, 16.363086044133066, 5.232441779695254, 6.0764716765246485, 2.172833403688613, 1.9618259294812694, 3.476558155041211, 17.576379020825332, 2.8209277887540627, 4.245228239653692, 6.561368832251406, 2.7681759202022267, 16.393229969019824, 7.101365122674628, 2.1125455539150977, 5.307801591912149, 4.207548333545234, 2.9716474131878905, 7.6213478269713475, 5.29272962946877, 19.241830870819083]"
6666666666666.667,"[9.484619184034468, 4.776514915782919, 3.222218788809111, 2.2500772112109524, 4.166100436825928, 2.577892394354531, 3.431342267711045, 28.31021063805208, 29.412347891724405, 29.146704553659795, 29.791030948114393, 2.029649760476484, 3.1374390000650827, 2.1539934506344043, 5.528229042646596, 27.60371239851854, 3.2278707747254005, 4.07001667624938, 6.815708198483496, 3.193958859227783, 3.668725676194336, 2.673976154931094, 13.763172522649628, 1.8657421689047167, 2.385724873201406, 3.0639631831536036, 3.126135028232549, 2.826579774670327, 3.8721971691799806, 3.6291617747804295, 2.979183394409575, 4.20001235232353, 28.97149299025548, 4.9178145636896184, 4.482611648136958, 4.267836183318779, 5.172153929921704, 5.200413859503047, 4.279140155151313, 4.652171225625, 5.166501944005445, 5.307801591912158, 5.268237690498266, 5.505621098981528, 5.183457901754238, 4.652171225625, 5.138242014424087, 2.4422447323640917, 2.9283155211631637, 25.455957750336545, 9.511705480543506, 28.44020631412626, 26.784174440659626, 27.332417074537645, 1.8826981266535106, 1.8205262815745507, 3.018747295823452, 1.6396627322539745, 2.8604916901679296, 3.6291617747804295, 3.3861263803809076, 4.719995056620249, 4.912162577773358, 5.302149605995884, 5.109982084842744, 5.889956141287779, 4.267836183318779, 4.929118535522154, 5.816480324376299, 5.505621098981528, 4.787818887615454, 4.3413120002302445, 5.138242014424087, 4.714343070703975, 4.601303352378603, 2.623108281684668, 3.8948051128450483, 2.871795662000464, 3.657421704361772, 4.686083141122646, 2.001389830895156, 5.48301315531646, 6.031255789194492, 5.488665141232734, 5.454753225735132, 6.381678916003139, 5.211717831335581, 5.3982333665724465, 1.1422879716223533, 4.296096112900107, 3.0526592113210693, 4.00219284525416, 2.7587559436751072, 3.9004570987613083, 4.635215267876206, 1.6848786195841112, 2.08051763372291, 1.0179442814644628, 3.2278707747254005, 3.9852368875053514, 3.1543949578138912, 2.900055591581821, 5.036506267931264, 3.561337943785224, 5.143894000340376, 5.324757549660951, 4.991290380601113, 6.828185803388334, 5.076070169345141, 17.143060100578094, 1.6792266336678514, 1.2157637885338477, 1.453147197017124, 0.5996973236605957, 3.1656989296464406, 2.7587559436751072, 0.2254926201145752, 2.334856999954995, 3.2561307043067282, 3.4935141127900047, 1.4814071265984667, 3.8835011410125144, 1.2214157744501073, 2.481808633777969, 3.8382852536823773, 3.250478718390468, 2.6909321126798877, 2.4026808309502, 1.5435789716774266, 2.8604916901679296, 3.8213292959335545, 1.8261782674908251, 2.255729197127226, 1.922262028067402, 2.7587559436751072, 1.1761998871199708, 1.5492309575936718, 3.199610845144043, 5.923868056785396, 5.223021803168115, 3.787417380435952, 12.474519733740424, 2.6852801267636277, 2.7700599155076415, 0.9444684645529542, 14.107943663541986, 39.08289579445958, 2.7417999859263134, 3.7422014931058003, 5.443449253902597, 4.765210943950385, 4.188708380490995, 5.946476000450464, 1.588794859007578, 2.820927788754067, 3.5387300001201565, 2.91701154933063, 1.3740193941893555, 3.0639631831536036, 2.165297422466938, 40.57502007635443, 3.318302549385674, 2.6174562957684078, 3.126135028232549, 3.4256902817947847, 1.956173943565005, 3.561337943785224, 1.2609796758639844, 18.708660199384422, 3.3013465916368654, 3.2391747465579344, 2.487460619694243, 3.465254183208662, 2.7813638873401905, 5.635616775055708, 5.189109887670512, 13.124498114111294, 3.3578664507995506, 13.175365987357704, 1.922262028067402, 13.814040395896024, 1.9957378449788818, 1.4587991829333984, 1.8148742956582908, 3.6178578029479103, 1.6114028026726464, 1.3005435772778906, 2.2783371407922948, 5.974735930031806, 2.6457162253497506, 4.979986408768579, 4.075668662165639, 3.1883068733115083, 4.8839026481920165, 3.866545183263706, 1.7922663519932225, 3.323954535301948, 33.928284638822824, 0.6957810842371581, 6.233553649107846, 7.736981902835229, 41.078046822902316, 5.0534622256800725, 3.612205817031621, 7.478164183759203, 5.115634070759018, 0.19840632360555174, 2.6457162253497506, 1.3796713801056297, 3.250478718390468, 1.8600901829884424, 64.70334795290407, 2.01269380272769, 68.30931496748329, 68.35453085481342, 68.54104639005028, 4.352615972062778, 4.9178145636896184, 3.561337943785224, 5.788220394794956, 5.686484648302119, 5.48301315531646, 4.166100436825928, 4.5391315072996585, 5.940824014534204, 4.606955338294863, 7.698591634493672, 6.155599479352397, 5.957779972282998, 28.106739145066417, 6.200815366682549, 5.652572732804517, 4.041756746668022, 2.0579096900578415, 2.510068563359311, 4.0248007889192285, 4.120884549495791, 4.618259310127397, 4.787818887615454, 3.8948051128450483, 8.422045831776021, 6.924269563964897, 6.6360182822352245, 5.827784296208833, 5.878652169455243, 6.082123662440917, 5.2343257750006495, 6.698190127314155, 7.7777194373214105, 5.025202296098731, 5.641268760971982, 5.0195503101824706, 5.3982333665724465, 6.036907775110781, 5.765612451129887, 4.861294704526948, 6.031255789194506, 4.284792141067573, 6.274291183594027, 5.895608127204067, 7.5346840429218895, 5.200413859503047, 6.104731606105986, 4.912162577773358, 5.1212860566752925, 4.957378465103496]"
