Ground Truth,Percentage Error
4000000000000.0,"[3.8740811644854003, 2.2583235546657714, 2.2583235546657714, 11.932639448011779, 1.504725432496643, 5.7060349635894525, 7.363950832361524, 21.03727839688699, 5.404595714721826, 7.3545308558344, 31.46025078871898, 31.46025078871898, 31.46025078871898, 28.888597196816868, 28.888597196816868, 2.682222498385901, 2.682222498385901, 2.682222498385901, 1.4670455263881959, 0.14824881259223632, 2.7104824279672366, 4.029279141763183, 3.0401816064162355, 1.5329853620779907, 4.208258695778345, 26.533603065038392, 7.519612080478503, 29.029896844723574, 29.029896844723574, 11.221662855634278, 15.639631846850733, 15.639631846850733, 12.116560625710108, 3.6619000572057496, 3.3559824554941406, 0.4452097086159301, 2.6023843333250243, 3.591481868671985, 1.8438445874727538, 6.652974239984021, 1.9618259294812868, 6.1819754136283205, 1.481407126598474, 3.1487429718976565, 3.1110630657891725, 3.1110630657891725, 5.946476000450477, 1.391685714171289, 3.4219222911839355, 1.5285070092340334, 0.47794799104123536, 0.7466489574835815, 0.7466489574835815, 0.25681017807365725, 5.451695597357385, 28.332818581717152, 28.332818581717152, 28.728457595855943, 2.5081845680538817, 13.171597996746875, 13.171597996746875, 9.04564827787096, 10.373864968194018, 21.404657481444435, 4.349558343685047, 6.70455247546355, 5.451695597357385, 7.194391254873474, 10.689202546432739, 0.5533078032581543, 7.194391254873474, 1.0337266061409425, 7.3356909027801755, 2.9459818411450804, 2.9459818411450804, 2.9459818411450804, 2.013404164960791, 31.47909074177321, 28.841497314181314, 28.841497314181314, 26.759682501689124, 26.759682501689124, 29.15235653957606, 5.626196798528601, 5.621255174845459, 26.23216381617074, 7.058033230649914, 3.567700291934607, 1.1750262540476686, 7.2697510670903815, 2.3807832495182497, 10.086324048697461, 7.4065723621531365, 8.136388907584863, 3.3465624789670287, 4.622737662971362, 14.254895297364968, 6.14877386036383, 6.14877386036383, 11.9093211421136, 4.811137193513647, 9.262307737994579, 6.794273887890736, 2.3951448497285157, 6.360954967643481, 6.360954967643481, 7.590030269012256, 2.653962568804553, 2.653962568804553, 3.4407622442381713, 1.5706652681864501, 12.248440297089697, 20.208320462500975, 11.71150163504419, 22.695194265659058, 14.151275555566723, 1.858206187683032, 0.32275001376346435, 7.039193277595691, 2.574124403743689, 10.044165789745021, 26.321885228597925, 6.111093954255359, 6.111093954255359, 14.980233489952735, 2.300945084457361, 0.035209094266882325, 0.035209094266882325, 12.431898203948828, 3.4313422677110594, 10.802242264758105, 0.7511273103275268, 3.059021559470459, 1.1844462305747803, 3.3416208552838627, 1.9380443527438964, 2.5081845680538817, 2.5081845680538817, 1.448205573333972, 0.1294088595380127, 2.4844029913164913, 2.1170239067590453, 0.7511273103275268, 0.31333003723632813, 13.4304157158229, 0.37926987292613523, 7.1849712783463495, 14.584594475813963, 2.9320835117740236, 2.9320835117740236, 2.0748656478066527, 2.0748656478066527, 2.079344000650598, 0.8359070990715698, 8.663907593103234, 12.940576936412976, 0.10609055363984374, 4.707517451715381, 3.1675829249518554, 2.069924024123486, 1.19386620710188, 1.19386620710188, 10.986163442456446, 10.986163442456446, 4.245938601886804, 3.266261043066956, 1.7734263989389893, 3.6524800806786377, 2.003984188433679, 7.684230034283386, 9.040706654187805, 4.128420530717481, 10.17110383744148, 10.17110383744148, 0.06841064753137208, 0.6946074511648559, 0.6946074511648559, 1.9618259294812868, 1.9618259294812868, 1.9618259294812868, 1.504725432496643, 1.504725432496643, 1.504725432496643, 2.574124403743689, 2.574124403743689, 26.35956513470637, 15.234572856184814, 15.234572856184814, 15.234572856184814, 32.06312928645427, 1.3163259019543823, 1.9524059529541746, 1.9524059529541746, 4.627679286654529, 2.894403605665564, 5.305917596606726, 5.305917596606726, 5.305917596606726, 5.305917596606726, 5.079838159955994, 5.126938042591565, 5.126938042591565, 5.126938042591565, 5.409537338404992, 5.409537338404992, 5.409537338404992, 2.9791833944095827, 2.9791833944095827, 1.9053060703186033, 0.5156278971496826, 1.1046080655139159, 2.8378837465028806, 4.100160601136145, 0.23302860133626707, 2.107603930231934, 0.7793872399088745, 0.0257891177397583, 1.7074865632491942, 0.5627277797852661, 0.5627277797852661, 2.1784853896049072, 3.2429427371687747, 5.079838159955994, 0.3460683196616333, 2.2112236720302003, 2.2112236720302003, 2.8706220289281617, 2.8567236995571044, 2.6068626861689816, 1.3728457611170533, 1.3728457611170533, 2.2206436485573118]"
5000000000000.0,"[12.220890729741466, 12.220890729741466, 12.225832353424629, 12.225832353424629, 12.225832353424629, 13.687812710432715, 32.666007784189546, 32.25152881699655, 7.744517884056915, 32.68861572785464, 32.68861572785464, 32.68861572785464, 32.55296806586419, 32.002841436680754, 4.4286861465128124, 32.39471246020868, 16.96596454186836, 28.521218112259433, 28.521218112259433, 28.521218112259433, 10.517758973639257, 27.33806906045392, 11.547594043472422, 11.547594043472422, 11.035147320397423, 33.00512693916568, 33.00512693916568, 33.00512693916568, 32.60571993441603, 8.324788438127149, 32.73383161518478, 30.89505219709215, 31.95762554935059, 31.95762554935059, 31.95762554935059, 13.419111743990362, 11.753659893996621, 16.358144420449904, 16.358144420449904, 11.705849649127948, 12.158008522429414, 27.104453642581493, 27.104453642581493, 12.838841189920135, 12.838841189920135, 31.708938169034784, 4.262894559635625, 4.262894559635625, 6.566310455934571, 11.517450118585664, 6.144295507519863, 7.365124465433828, 2.353696953009219, 6.55877447471289, 32.74890357762816, 32.74890357762816, 32.74890357762816, 32.74890357762816, 3.0571375641650196, 4.58694175216834, 6.523688926142969, 1.5800852447135547, 1.5800852447135547, 2.8235221462925977, 31.226635370846562, 31.226635370846562, 31.226635370846562, 31.226635370846562, 31.226635370846562, 30.601148929446182, 16.064241152803945, 16.064241152803945, 10.329359443096992, 10.329359443096992, 11.580332325897714, 7.553523995976113, 5.80517635254377, 7.146581010004765, 1.4644511688496484, 6.332695038062148, 7.741923526518379, 31.9500895681289, 32.03298536156751, 33.59293347445757, 0.6230156295587891, 33.90190870454691, 32.115881155006115, 33.34424609414175, 6.747174005255176, 32.070665267675956, 5.40576934779414, 32.5454320846425, 1.2835876195290818, 6.166903451184941, 7.5836679208628714, 5.722280559105156, 7.108901103896328, 2.052257704141582, 10.304157141893398, 2.687874484302168, 4.006671198098105, 4.006671198098105, 1.195750202407324, 7.865093583603984, 2.6803385030804687, 32.56804002830757, 31.972697511793985, 10.206189386011406, 32.115881155006115, 8.548273517239355, 32.73383161518478, 9.90475013714377, 3.566989929701504, 6.335289395600683, 2.7380319953154686, 3.079745507830098, 10.198653404789706, 32.83933535228846, 32.45500030998221, 9.279263695743378, 32.77904750251493, 8.812032859998535, 15.280499105748078, 15.280499105748078, 15.280499105748078, 15.280499105748078, 15.280499105748078, 15.401074805295137, 33.69090123033956, 6.9129655921323625, 31.9500895681289, 5.29272962946877, 32.41732040387376, 33.381926000250225, 10.100685648907714, 11.133115076279413, 5.9709679394209765, 3.5971338545882614, 2.1200815351367965, 6.438198775165841, 3.275681019594062, 3.275681019594062, 3.275681019594062, 3.275681019594062, 3.275681019594062, 3.351040831810977, 7.606275864527949, 28.691951322819765, 10.839211808633458, 8.480449686244121, 8.480449686244121, 7.802211376291934, 8.578417442126113, 8.578417442126113, 8.578417442126113, 8.578417442126113, 7.7268515640750195, 8.661313235564707, 0.24362221093570313, 0.24362221093570313, 7.84742726362207, 13.047254306588945, 13.047254306588945, 13.047254306588945, 13.047254306588945, 4.704923094176856, 4.704923094176856, 3.855951573664297, 2.4015071978778906, 2.4015071978778906, 32.67354376541124, 8.11872258760295, 8.11872258760295, 11.20093890727463, 11.20093890727463, 6.9657174606842, 8.269442212036777, 3.9663969344511134, 31.60343443193112, 6.460806718830899, 32.12341713622781, 32.12341713622781, 5.619371179540019, 7.2320711609819135, 8.525665573574278, 24.434121932564295, 4.727531037841934, 4.727531037841934, 13.974179996856972, 7.33498054054707, 7.33498054054707, 10.66588424053455, 8.450305761357363, 10.0403977991342, 26.59694854318967, 6.528630549826113, 25.308295754280447, 13.039718325367266, 6.973253441905898, 9.565630982167637, 11.615417874467637, 9.354623507960293, 24.102538758809864, 24.102538758809864, 8.985360428097422, 7.802211376291914, 7.809747357513633, 30.32231762424361, 7.056149235344492, 8.729137066559941, 2.700352089207012, 34.15813206608441, 34.806226451149854, 34.27117178440977, 30.01334239415428, 34.35406757784837, 33.26888628192485, 34.70072271404617, 21.525233180991503, 5.943418372072734, 5.943418372072734, 5.943418372072734, 5.943418372072734, 21.74377663642055, 33.87176477966015, 31.03069985908259, 28.74729754891018, 30.993019952974134, 32.13848909867118, 33.90190870454691, 30.09623818759287, 30.09623818759287, 33.238742357038085, 33.238742357038085, 33.238742357038085, 5.333003893115762, 5.333003893115762, 5.16461794870002, 5.16461794870002, 30.367533511573757, 30.367533511573757, 4.501451601191191, 4.501451601191191, 4.501451601191191, 32.60571993441603, 34.01494842287228, 33.66075730545279, 34.56507505205573, 33.93205262943367, 30.164062018588094, 5.732410897865391, 5.732410897865391]"
6666666666666.667,"[25.04336277844897, 32.718759652741404, 3.6856816339431298, 35.9686515545957, 2.8717956620004927, 25.065970722114038, 32.43050837101172, 12.463215761907891, 8.806380874082254, 10.824139846190068, 0.12493050669404296, 9.281147691048808, 6.138643521603603, 8.896812648742557, 2.4015071978778955, 5.906912099036601, 0.5883933518280615, 0.5883933518280615, 6.110383592022246, 1.939217985816196, 6.246031254012685, 36.70906170962687, 36.33037865323689, 3.17700290147896, 36.86731731528239, 2.4648526760291745, 36.437766385645986, 36.403854470148374, 8.930724564240162, 10.761968001111107, 7.133393042866832, 7.133393042866832, 6.489066648412237, 8.970288465654052, 27.281549201291234, 32.509636173839475, 3.261782690223003, 38.540305146497815, 2.736148000010039, 21.05871270747977, 32.57746000483469, 24.72685156713794, 35.55040459679185, 1.1015504371361717, 38.076842301363804, 2.815275802837793, 24.52903206006854, 32.42485638509544, 6.166903451184947, 2.4365927464478023, 10.705448141948422, 7.037309282290254, 7.037309282290254, 6.867749704802197, 0.7409969715673095, 3.572641915617759, 38.96420409021795, 2.6513682112660253, 33.54960158243285, 35.516492681294245, 3.7026375916919383, 36.01386744192585, 10.91457162085037, 4.2384026206651315, 15.034869353809993, 6.4042868596682085, 1.198807830785039, 11.050219282840795, 0.20405830952179688, 2.2896411126248437, 1.504015070263535, 6.7094940991466885, 0.9432948314806641, 0.9432948314806641, 2.425288774615283, 0.30579405601464843, 11.287602691324071, 11.287602691324071, 15.633979860934453, 15.633979860934453, 0.20405830952182616, 0.20405830952182616, 0.20405830952182616, 0.20405830952182616, 0.20405830952182616, 6.099079620189712, 6.347767000505537, 6.347767000505537, 6.347767000505537, 3.3861263803809076, 3.3861263803809076, 3.3861263803809076, 6.099079620189712, 6.099079620189712, 6.099079620189712, 5.759960465213627, 6.963833465378774, 20.472079805260165, 20.472079805260165, 8.24118228245543, 6.217771324431357, 16.46364815755358, 0.5476558173418798, 5.420841310237515, 5.420841310237515, 5.420841310237515, 11.219778860328866, 11.219778860328866, 11.219778860328866, 11.219778860328866, 6.963833465378774, 20.31947618552092, 20.31947618552092, 12.836246832381606, 0.384921858842417, 6.997745380876376, 5.3304095355772265, 10.835443818022602, 5.748656493381094, 11.9432330576112, 11.9432330576112, 11.9432330576112, 8.47291370502243, 8.47291370502243, 7.223824817527133, 0.6392612250744726, 0.6392612250744726, 0.6392612250744726, 3.719593549440732, 3.719593549440732, 6.229075296263891, 9.575050958694757, 9.575050958694757, 0.46970164758641597, 0.46970164758641597, 0.46970164758641597, 2.4309407605315427, 2.4309407605315427, 6.093427634273452, 6.82253381747206, 5.437797267986324, 5.437797267986324, 7.935975042976934, 11.621069860383896, 11.914973128029873, 10.711100127864697, 10.711100127864697, 4.946074493270962, 4.946074493270962, 4.539131507299643, 4.539131507299643, 4.539131507299643, 36.08734325883734, 5.957779972282998, 1.423713634363491, 32.67919575132751, 2.6852801267636277, 2.6852801267636277, 2.6852801267636277, 2.012693802727705, 9.789826423512963, 31.978349497710244, 3.420038295878511, 5.23997776091691, 2.052257704141582, 0.2097102954380713, 16.34047810046798, 9.20201988822104, 5.98603990186434, 7.704243620409931, 5.556488972227954, 16.357434058216786, 22.749830129516322, 3.10800543741145, 9.671134719271318, 4.374050282655557, 2.079344000650605, 2.079344000650605, 2.91701154933063, 2.9271418880908593, 2.9271418880908593, 3.967107296684238, 11.519334113891073, 34.52174316003101, 5.793872380711231, 2.7191920422612306, 9.54113904319714, 6.483414662495962, 7.783371423237686, 4.968682436936045, 6.698190127314155, 4.505219591802041, 5.92952004270167, 2.7813638873401754, 4.985638394684868, 1.9844338731463476, 6.7094940991466885, 6.7094940991466885, 5.336061521493487, 3.069615169069863, 3.069615169069863, 2.125733521053047, 5.09867811301021, 1.9844338731463331, 4.448699732639355, 6.12168756385478, 7.562943972503218, 5.1269380425915525, 6.799925873806992, 6.698190127314155, 6.698190127314155, 4.985638394684839, 4.985638394684839, 4.985638394684839, 11.988448944941352, 2.2444252252946923, 36.33603063915316, 5.839088268041381, 37.014268949105364, 33.040922849968695, 2.3631169295363375, 24.63194143963368, 15.984402987743085, 22.563314594279458, 25.91494224262661, 7.83423929648411, 6.093427634273452, 21.545957129351162, 5.16084995808917, 6.82253381747206, 4.448699732639355, 6.036907775110781, 2.753103957758847, 5.200413859503047, 2.069213661890376, 36.17777503349764, 36.17777503349764, 36.17777503349764, 32.792235469652894, 2.7870158732564647, 35.47692877988037, 6.664278211816553, 1.6950089583443555, 3.989715240349306, 4.697387112955151, 4.697387112955151, 2.842362099346831, 10.473716719381422, 3.9965408593378853, 4.556087465048467, 4.556087465048467, 4.392179873476684, 4.392179873476684, 3.5782939015340185, 4.584347394629795, 4.584347394629795, 35.2225894136483, 1.7413984787468115, 1.7413984787468115, 32.4870282301744, 36.884273273031184, 35.516492681294245, 1.7866143660769482, 2.1879053661320214, 4.69738711295518, 32.07443325828681, 8.325962071199443, 5.189109887670512, 2.08051763372291, 4.725647042536509, 8.314658099366909, 6.7716659442256635, 21.365093580030557, 23.247204890147945, 20.30252022777211, 8.24118228245543, 12.474519733740424, 5.646920746888242, 34.1317561318085, 0.5940453377443359, 6.0256038032782175, 36.30777070957181, 5.61300883139064, 34.1317561318085, 11.05587126875707, 11.05587126875707, 9.959386001001006, 9.959386001001006, 4.154796464993393, 6.144295507519848, 6.144295507519848, 6.528630549826113, 6.528630549826113, 5.3643214510748285, 7.26904070485727, 4.250880225569956, 6.398634873751933, 8.21857433879036, 3.267434676139262, 0.4470937039213477, 2.334856999954995, 0.11810488770549316, 37.29121625900251, 33.25004632887063, 33.25004632887063, 33.9339366247391, 2.7531039577588623, 3.94449935301917, 40.823707456670235, 0.2989684370260693, 34.04697634306447, 3.080919140902412, 6.246031254012685, 6.246031254012685, 10.179813451735487, 6.997745380876376, 4.103928591746983, 6.438198775165825, 8.060318733134839, 34.15436407547357, 2.979183394409575, 3.650596085373223, 3.650596085373223, 6.144295507519863, 34.36913954029176, 37.002964977272825, 11.434554325147046, 11.434554325147046, 10.15155352215413, 65.55679782626059, 3.7026375916919383, 11.089783184254687, 11.089783184254687, 5.059114211596333, 7.206868859778324, 3.906109084677583, 11.276298719491537, 11.276298719491537, 4.979986408768579, 1.2609796758639988, 3.126135028232549, 3.126135028232549, 40.445024400280246, 4.849990732694399, 1.2496757040314648, 3.2165668028928516]"
