Ground Truth,Percentage Error
4000000000000.0,"[7.453672244788696, 0.4169497790345826, 1.547346962288269, 0.5582494269413086, 1.3212675256375366, 1.9524059529541746, 5.343597502715173, 4.5334795213833985, 4.768978934561231, 4.4863796387478025, 2.3480449670929566, 4.090740624609033, 3.7893013757413816, 3.789301375741394, 3.6574217043617923, 3.2146828075874394, 7.152232995921044, 4.6747791692901, 4.29798010820553, 4.42043980305802, 8.631169310677954, 4.92911853552218, 4.194360366407287, 3.7893013757413816, 5.531997033257471, 3.9023410940667485, 3.7233615400515867, 4.92911853552218, 4.401599850003796, 5.10809808953733, 4.995058371211963, 5.004478347739087, 5.042158253847546, 4.957378465103516, 36.7448576204299, 36.707177714321446, 36.79195750306546, 36.970937057080626, 2.621224286379248, 4.081320648081921, 3.9211810471209843, 3.883501141012524, 3.478442150346619, 7.529032057005615, 4.2037803429344, 4.759558958034119, 5.663876704637061, 4.674779169290088, 3.9306010236480957, 4.29798010820553, 4.0530607185005865, 4.307400084732653, 3.563221939090649, 3.1016430892620606, 3.195842854533215, 3.412502314656836, 3.0922231127349487, 4.38275989694956, 4.043640741973474, 4.363919943895325, 4.081320648081921, 2.7248440281775026, 4.175520413353064, 4.260300202097082, 3.5726419156177616, 4.552319474437622, 4.232040272515735, 4.279140155151318, 4.071900671554809, 3.9400210001752076, 4.589999380546069, 4.957378465103516, 4.693619122344324, 3.9117610705938595, 4.721879051925671, 6.219655319736767, 3.9965408593378786, 3.8740811644854003, 3.534962009509314, 4.213200319461511, 10.538482921998927, 11.894959541903333, 10.896442030029247, 10.510222992417566, 4.326240037786878, 5.098678113010218, 5.249397737444031, 5.174037925227136, 4.995058371211963, 3.1393229953705073, 2.9320835117740236, 3.2335227606416628, 3.1299030188433963, 1.7922663519932251, 1.7922663519932251, 1.7922663519932251, 1.7922663519932251, 1.7922663519932251, 4.363919943895325, 5.06099820690177, 4.787818887615466, 4.891438629413709, 4.957378465103516, 3.582061892144873, 2.828463769975769, 2.828463769975769, 2.6871641220690674, 3.280622643277234, 2.1031255773879884, 2.0842856243337646, 2.329205014038733, 2.4045648262556396, 4.288560131678418, 4.316820061259766, 28.907437149871097, 4.2037803429344, 3.308882572858581, 4.043640741973474, 3.676261657416028, 3.8740811644854127, 4.119000554190368, 1.8676261642101442, 2.5081845680538817, 2.903823582192676, 1.5096670561798096, 2.649484215960596, 3.261782690222998, 3.261782690222998, 3.261782690222998, 3.261782690222998, 3.9871208828107663, 2.734264004704614, 3.9117610705938723, 3.845821234904065, 3.600901845199097, 3.855241211431177, 2.357464943620068, 3.1393229953705073, 2.8567236995571044, 2.6777441455419555, 2.6965840985961793, 0.7278090044293579, 2.3197850375116214, 2.3197850375116214, 2.3197850375116214, 3.1016430892620606, 3.2429427371687747, 2.9320835117740236, 3.252362713695886, 3.195842854533215, 3.365402432021253, 3.8269812818498417, 2.828463769975769, 2.7907838638673095, 2.8096238169215453, 2.960343441355359, 3.2429427371687747, 2.771943910813086, 2.5364444976352294, 2.3386249905658447, 2.9697634178824703, 3.845821234904065, 3.8740811644854127, 4.411019826530896, 4.392179873476673, 4.439279756112244, 1.2459077134206176, 3.2241027841145504, 3.2241027841145504, 3.2241027841145504, 3.2241027841145504, 3.0922231127349487, 3.0922231127349487, 3.0922231127349487, 3.0922231127349487, 3.0922231127349487, 13.727376611846582, 13.727376611846582, 1.3306875021646363, 1.3306875021646363, 1.5190870327069215, 2.6777441455419555, 2.6777441455419555, 2.6777441455419555, 2.6777441455419555, 2.6777441455419555, 3.4690221738195066, 4.279140155151307, 3.563221939090649, 3.8269812818498417, 3.9400210001752076, 4.46753968569358, 5.098678113010218, 5.202297854808472, 4.882018652886597, 5.466057197567664, 4.599419357073181, 4.175520413353064, 4.297980108205542, 4.561739450964733, 3.9777009062836552, 5.2211378078626955, 4.184940389880175, 5.070418183428882, 4.938538512049292, 5.023318300793311, 3.921181047120972, 4.627679286654517, 4.693619122344324, 4.505219591802051, 5.032738277320434, 1.2459077134206176, 2.357464943620068, 1.2459077134206176, 2.0183457886439697, 1.6886466101949709, 2.7060040751232908, 3.0733831596807253, 2.2821051314031617, 3.252362713695886, 3.0262832770451538, 2.4705046619454345, 2.3480449670929566, 2.027765765171069, 1.8111063050474732, 2.376304896674292, 3.0733831596807253, 3.1016430892620606, 2.6023843333250243, 2.998023347463806, 2.9132435587198, 2.24442522529469, 3.4690221738195066, 3.271202666750122, 3.365402432021253, 3.3183025493856935]"
5000000000000.0,"[3.3183025493856837, 3.3183025493856837, 2.7455679765371483, 2.7455679765371483, 2.7455679765371483, 2.7304960140937693, 4.275372164540469, 4.62956328195996, 4.418555807752598, 3.536846004814727, 4.13972450255002, 3.9287170283426565, 5.262585704582012, 3.6724936668051567, 3.9437889907860355, 3.9890048781161718, 4.011612821781269, 3.8985731034558984, 1.9467539670378908, 0.8389647274492968, 1.4569151876279687, 1.517203037401504, 1.5021310749581251, 1.5021310749581251, 1.5021310749581251, 5.458521216345977, 2.903823582192676, 2.813391807532383, 2.8058558263106836, 2.4818086337779883, 2.790783863867285, 4.576811413408086, 3.205262831060332, 2.918895544636055, 3.574525910923164, 3.551917967258105, 2.941503488301133, 3.0168633005180467, 2.0673296665849414, 1.4569151876279687, 1.4569151876279687, 1.4343072439628906, 1.260979675864004, 28.16702699483995, 1.6754586430570115, 2.4215207840044335, 2.4215207840044335, 2.4215207840044335, 1.95428994825959, 5.353017479242304, 3.3032305869423046, 3.649885723140098, 3.6272777794750195, 3.6197417982533397, 3.3258385306073825, 2.511952558664746, 2.511952558664746, 4.230156277210332, 4.011612821781269, 4.245228239653711, 5.013898324266192, 3.1374390000650973, 4.931002530827578, 4.629563281959941, 5.7373525215485355, 4.478843657526133, 5.29272962946877, 1.4519735639448048, 1.4142936578363672, 1.097782446525332, 0.18333436116216795, 6.4080548502790435, 5.533881028562871, 5.873000183538984, 5.55648897222795, 6.121687563854785, 5.903144108425742, 0.45722404268158207, 0.9746123894397265, 0.6656371593503906, 0.823892765005918, 0.3039100607092188, 0.9369324833312891, 31.173883502294707, 2.7380319953154686, 3.2655506808338677, 3.24294273716877, 3.1374390000650973, 3.1374390000650973, 3.205262831060332, 3.3635184367158204, 3.3635184367158204, 3.559453948479785, 3.559453948479785, 3.559453948479785, 6.3929828878356645, 5.021434305487891, 5.684600652996719, 5.209833836030156, 4.8857866434974415, 4.652171225625039, 3.6724936668051757, 3.9663969344511134, 4.079436652776504, 3.8006053475739257, 3.853357216125742, 3.5745259109232035, 3.295694605720625, 2.918895544636055, 2.6249922769900977, 2.7304960140937693, 2.7304960140937693, 0.600407685893711, 0.163320775035625, 0.7360553478841602, 0.46476002390326177, 1.1053184277470314, 1.1429983338554688, 4.508987582412891, 5.8805361647606835, 5.481129160011055, 5.051578230374668, 4.953610474492656, 5.021434305487891, 3.7403174978003904, 5.202297854808476, 5.209833836030156, 5.202297854808476, 6.257335225845234, 5.119402061369863, 3.2052628310602933, 2.7154240516503907, 2.7154240516503907, 31.67879424414803, 4.049292727889746, 4.546667488521348, 4.2150843147669335, 3.695101610470254, 4.086972633998184, 4.086972633998184, 3.695101610470254, 4.102044596441563, 28.151955032396565, 38.483785287335124, 27.03662981158626, 3.6348137606967383, 9.121008090087871, 0.41694977903460934, 0.41694977903460934, 0.41694977903460934, 0.7409969715673241, 2.097473591471719, 0.6882451030154687, 0.5827413659117968, 0.44709370392136716, 0.6354932344636328, 1.585026868396719, 39.09419976629212, 3.544381986036406, 4.51652356363457, 4.162332446215097, 38.355673606566384, 38.64957687421233, 4.2829081457621685, 4.2829081457621685, 2.6702081643202344, 2.398912840339355, 1.999505835589746, 2.6400642394334763, 2.8510717136408594, 2.3310890093441405, 3.0243992817397265, 2.097473591471719, 2.08993761025002, 2.2406572346838476, 3.9437889907860355, 4.606955338294863, 4.606955338294863, 4.606955338294863, 5.096794117704804, 5.096794117704804, 3.7252455353570113, 2.5797763896599415, 2.8661436760842385, 3.6724936668051757, 3.047007225404805, 3.4388782489327343, 2.429056765226133, 2.557168445994883, 2.6249922769900977, 2.4667366713346093, 4.200012352323554, 2.798319845089004, 3.3183025493856837, 4.13972450255002, 3.031935262961426, 4.433627770195996, 0.18333436116216795, 2.542096483551504, 2.225585272240469, 1.585026868396719, 2.9791833944095703, 3.084687131513262, 6.3025511131753715, 5.262585704582012, 5.262585704582012, 5.255049723360293, 5.383161404129062, 5.0440422491529695, 3.23540675594709, 5.322873554355527, 5.051578230374668, 5.1646179487, 4.757674962728691, 4.810426831280528, 7.870035207287149, 1.7734263989389845, 3.2127988122820117, 2.8209277887540627, 2.8209277887540627, 1.426771262741211, 3.7252455353570113, 3.49163011748459, 3.129903018843398, 3.4614861925978317, 2.8510717136408203, 3.8684291785691403, 0.36679226802128906, 0.36679226802128906, 0.36679226802128906, 1.7734263989389845, 3.2881586244989256, 2.406448821561035, 5.428377291459199, 5.428377291459199, 5.428377291459199, 5.428377291459199, 5.255049723360313, 5.255049723360313, 6.490950643717657, 0.9821483706614257, 1.8563221923775977, 0.9595404269963477, 1.7884983613824024, 2.1577614412452344, 6.799925873806992, 4.63709926318166, 4.313052070648926, 4.1095805776632615, 18.646488354305486, 18.307369199329397, 4.817962812502227, 5.059114211596348, 5.059114211596348, 4.629563281959941, 18.11896966878711, 3.24294273716877, 5.7373525215485355, 7.448020258872441, 6.686886155481621, 1.9467539670378908, 4.079436652776504, 3.8006053475739257, 10.108221630129414, 4.667243188068418, 9.980109949360665, 3.4866884938014255, 4.8857866434974415, 5.345481498020625, 5.0440422491529695, 5.443449253902578, 4.245228239653692, 0.035209094266875005, 5.481129160011055, 7.289764653216914, 5.496201122454433, 6.656742230594863, 4.961146455714336, 3.9890048781162113, 4.290444126983848, 5.028970286709571, 6.82253381747209, 5.903144108425742, 4.765210943950371, 2.7455679765371483, 2.0371857416981833, 3.0093273192963474, 3.544381986036406, 3.559453948479785, 10.221261348454785, 4.8707146810540625, 17.410587433948123, 5.5414170097845705, 4.938538512049277, 4.471307676304433, 2.3461609717875196, 6.58138241837795, 6.370374944170605, 6.370374944170605, 5.232441779695234, 5.074186174039727, 4.795354868837149, 5.013898324266192, 4.622027300738242, 4.878250662275762, 5.40576934779414, 19.822101424889297, 4.591883375851484, 3.710173572913633, 4.328124033092305, 6.611526343264707]"
6666666666666.667,"[4.448699732639355, 1.9109580562348678, 3.6235097888641694, 2.8039718310052586, 3.617857802947895, 3.533078014203882, 3.0300512676560007, 1.6905306055003857, 0.5205695208328418, 0.5205695208328418, 0.5205695208328418, 0.5205695208328418, 0.5205695208328418, 0.5205695208328418, 0.5205695208328418, 3.0470072254047946, 3.1148310564000146, 4.861294704526948, 3.2956946057206054, 2.979183394409575, 1.7470504646630858, 1.775310394244414, 1.775310394244414, 1.9109580562348678, 1.9109580562348678, 1.9844338731463331, 1.9844338731463331, 29.13540058182725, 2.911359563414355, 2.911359563414355, 32.04617332870547, 3.4256902817947847, 28.508030145121477, 26.75591451107828, 26.75591451107828, 2.47050466194542, 2.696584098596162, 2.9848353803258494, 2.5213725351918455, 3.470906169124922, 0.554481436330459, 0.554481436330459, 0.554481436330459, 0.554481436330459, 0.554481436330459, 0.554481436330459, 0.554481436330459, 39.28636728744524, 39.28636728744524, 2.883099633833027, 3.3804743944646485, 4.216968310072339, 3.48786212687373, 4.245228239653696, 0.40070418351890624, 1.5435789716773973, 1.5435789716773973, 0.6392612250744726, 0.6392612250744726, 0.6392612250744726, 1.3740193941893555, 2.125733521053047, 2.125733521053047, 5.946476000450464, 5.646920746888242, 6.409938845584468, 5.381277408823623, 5.381277408823623, 5.381277408823623, 4.946074493270962, 4.4713076763044235, 4.69738711295518, 4.657823211541289, 4.5673914368810005, 4.46000370447189, 4.409135831225493, 5.098678113010225, 4.996942366517402, 5.499969113065268, 5.268237690498266, 5.200413859503047, 4.748254986201577, 4.895206620024551, 0.40752980250748533, 0.40752980250748533, 0.9105565490553515, 0.9105565490553515, 3.2900426198043307, 3.2900426198043307, 3.2900426198043307, 3.0526592113210693, 3.753505464938335, 3.0357032535722603, 0.5928717046720166, 0.5928717046720166, 0.5928717046720166, 0.5928717046720166, 0.5928717046720166, 0.5928717046720166, 0.5928717046720166, 0.35666192926105955, 0.35666192926105955, 2.170949408383198, 2.730496014093765, 2.928315521163179, 3.1091790704837545, 2.1992093379645556, 0.3170980278471826, 0.06158502854280762, 0.06158502854280762, 0.06158502854280762, 0.06158502854280762, 0.06158502854280762, 2.566588422521982, 3.465254183208647, 3.465254183208647, 3.663073690278061, 3.663073690278061, 4.375223915727862, 4.041756746668022, 5.375625422907363, 5.081722155261401, 5.4377972679863085, 4.833034774945606, 4.923466549605894, 4.7821669016991795, 4.991290380601113, 5.381277408823623, 5.256933718665717, 5.556488972227954, 5.516925070814063, 5.336061521493487, 4.951726479187221, 5.115634070759004, 10.812835874357534, 2.9622274366607813, 2.883099633833027, 2.883099633833027, 3.4935141127900047, 3.1317870141488227, 2.8322317605866014, 5.516925070814063, 5.494317127148994, 5.109982084842758, 5.223021803168115, 5.590400887725571, 4.499567605885766, 5.443449253902597, 7.263388718940996, 3.8439372395986373, 4.177404408658462, 3.7082895776081983, 3.075267154986152, 4.414787817141753, 3.9682809297565576, 56.55318426164509, 3.2335227606416597, 3.3974303522134424, 3.629161774780444, 2.753103957758847, 2.4592006901128856, 3.3013465916368654, 1.7628327893395752, 6.217771324431357, 5.9125640849528605, 5.833436282125092, 5.92952004270167, 5.5734449299767626, 5.273889676414555, 18.222589410585353, 1.1761998871199708, 1.6283587604214402, 1.9279140139836621, 2.323553028122461, 3.1148310564000146, 1.4927110984310008, 2.870622028928159, 2.3913768591176656, 2.125733521053047, 2.7926678591727243, 2.4478967182803517, 3.2900426198043307, 3.278738647971797, 1.577490887175029, 3.18265488739522, 2.939619492995713, 3.0243992817397114, 3.165698929646426, 2.4083328168664746, 3.2278707747254005, 0.6392612250744726, 2.0353017463927734, 1.6509667040865088, 2.0974735914717186, 1.673574647751577, 2.5778923943545164, 3.521774042371347, 5.093026127093935, 4.731299028452783, 4.9178145636896184, 4.866946690443222, 4.866946690443222, 4.550435479132178, 26.73895855332948, 2.7022360845124216, 2.227469267545884, 3.8100253241010207, 39.54070665367732, 2.159645436550664, 2.5213725351918455, 2.9057075774980956, 5.042158253847539, 4.912162577773358, 4.923466549605894, 4.827382789029331, 6.7094940991466885, 5.081722155261401, 1.600098830840112, 2.527024521108105, 2.527024521108105, 2.91701154933063, 1.634010746337715, 3.6009018451990866, 3.7365495071895403, 4.4713076763044235, 3.5161220564550733, 2.956575450744507, 3.0130953099071776, 2.8435357324191357, 2.9452714789119727, 2.487460619694243, 37.46642782240683, 19.398202481169182, 2.4749830147894043, 4.403483845309219, 7.042961268206528, 2.617456295768423, 5.036506267931264, 6.285595155426563, 6.031255789194506, 6.986441409043842, 5.692136634218379, 5.692136634218379, 6.726450056895512, 2.7813638873401905, 2.238773239378418, 2.3687689154525975, 2.91135956341437, 3.612205817031621, 2.4365927464478023, 10.767619987027382, 2.928315521163179, 3.261782690223003, 3.5443819860364156, 1.9279140139836621, 4.273488169235039, 3.4256902817947847, 4.380875901644136, 3.962628943840283, 3.2109148169765915, 3.4991660987062647, 3.3974303522134424, 2.979183394409575, 3.120483042316289, 40.39980851295011, 40.134165174885496, 2.7813638873401905, 39.57461856917493, 1.600098830840112, 2.3518129577038036, 5.488665141232734, 5.002594352433647, 5.505621098981528, 4.821730803113071, 5.1269380425915525, 5.279541662330801, 5.353017479242295, 2.939619492995713, 2.8491877183353953, 2.2715115218037303, 2.967879422577041, 2.3913768591176656, 6.2686391976777545, 5.499969113065268, 4.810426831280537, 3.216566802892866, 3.572641915617759, 4.906510591857085, 4.036104760751762, 6.342115014589263, 4.409135831225493, 4.827382789029331, 4.968682436936045, 4.968682436936045, 5.629964789139448, 4.092624619914448, 6.12168756385478, 5.940824014534204, 5.166501944005445, 5.5734449299767626, 5.946476000450464, 5.528229042646596, 4.690561493966601, 4.968682436936045, 4.7426030002853174, 4.2282722819048875, 4.397831859392959, 4.3356600143139845, 4.19436036640727, 3.1091790704837545, 5.618660817306914, 5.239977760916938, 5.059114211596333, 67.70455247444256, 3.990888873421626, 4.929118535522154, 9.213323860053574, 5.827784296208833, 6.325159056840439, 5.403885352488706, 6.2629872117614935, 9.744610536182826, 5.245629746833183, 6.777317930141924, 4.985638394684839, 5.629964789139448, 3.7761134086034027, 3.9287170283426516, 4.279140155151313, 15.345728579204765, 67.08283402365305, 6.234727282180151, 5.533881028562871, 6.12168756385478, 6.743406014644307, 5.1212860566752925, 40.071993329806546, 5.16084995808917, 4.663475197457534, 4.985638394684839, 5.646920746888242, 7.376428437266382, 5.166501944005445, 4.081320648081914, 5.115634070759004, 5.443449253902583, 6.161251465268672, 5.726048549715996, 5.579096915893022, 5.709092591967202]"
